text,merged_lexicon
ky hyky,conjunction
dhhw),conjunction | preposition independent
gbr),noun sg. emphatic
hw),preposition independent
)byq,verb peal
bh,preposition with pronominal suffix
kwly (lm),noun pl. construct | noun sg. emphatic
nmy,adverb
hky,X
