text,merged_lexicon
rby(t),noun sg. emphatic
dxmr),preposition | noun sg. emphatic
wrby(t),conjunction | noun sg. emphatic
d$ykr);,preposition | noun sg. emphatic
wny(ry,conjunction | verb pael
