text,merged_lexicon
)l),conjunction
kywN,conjunction
dxz),conjunction | verb peal
xzqyh,No data
dq),conjunction | adverb
T(w,verb peal
y$r)l,No data
btryh,preposition with pronominal suffix
"""(md",No data
"wkttw"";",No data
