text,merged_lexicon
"""Trph",No data
)ynh,No data
"ywldt"";",No data
)l),conjunction
lm)N,preposition proclitic | preposition independent
d)m';,conjunction | verb peal
"""Trph",No data
"ywldt"";",No data
m)y,preposition independent
)yk),adverb
lmymr;,preposition with pronominal suffix | verb peal
)m',verb peal
qr),noun sg. emphatic
