text,merged_lexicon
zyqy,noun pl. emphatic
mrb,No data
ycxq,No data
br,noun sg. abs. or construct
ywsP;,No data
rm),verb peal
bhw,preposition with pronominal suffix
xmr',noun sg. emphatic
