text,merged_lexicon
)m',verb peal
lyh,preposition with pronominal suffix
)yhw;,preposition independent
xd),numeral singular absolute or construct
dl),conjunction | adverb
mcyt,adjective singular absolute or construct
mklyt,verb pael
lhw,preposition
