text,merged_lexicon
)wrx),noun sg. emphatic
)xryty;,R
)m',verb peal
lyh,preposition with pronominal suffix
rb,noun sg. emphatic
$$t,No data
l$m(yh;,preposition proclitic | noun sg. emphatic
