text,merged_lexicon
lbb),preposition proclitic | noun sg. emphatic
dxnwt),preposition | noun sg. emphatic
w$ty;,conjunction | verb peal
rb,noun sg. emphatic
)x),No data
myty,verb (h)aphel
lyh,preposition with pronominal suffix
