text,merged_lexicon
p$,verb peal
lyh,preposition with pronominal suffix
xmr),noun sg. emphatic
bkwb),preposition with pronominal suffix | noun sg. emphatic
wcyyryh,conjunction | verb pael
lpwmyh,preposition proclitic | noun sg. emphatic
dkwb),preposition | noun sg. emphatic
bprwnq);,preposition with pronominal suffix | noun sg. emphatic
wxzyyh,conjunction | verb peal
lhhw),preposition proclitic | preposition independent
xwy),noun sg. emphatic
d$ql,conjunction | verb peal
my),noun pl. emphatic
wrm);,conjunction | verb peal
