text,merged_lexicon
"""hkl",No data
mwdy';,No data
lk$tc),No data
xmh,No data
"mnrtyqh"";",No data
lky,conjunction
npq),verb peal
q)m',verb peal
lh;,preposition with pronominal suffix
wky,conjunction | conjunction
