text,merged_lexicon
kwsbrt);,noun sg. emphatic
$dr,verb pael
ly',preposition proclitic
krty;,noun
$dr,verb pael
lyh,preposition
xs);,noun sg. emphatic
kl,noun sg. abs. or construct
