text,merged_lexicon
"""bwlT""",No data
wm$wM,conjunction | preposition independent
x$d),noun sg. emphatic
..;,No data
wmy,conjunction | conjunction
xy$ynN,verb peal
lx$d);,preposition proclitic | noun sg. emphatic
