text,merged_lexicon
br br,noun sg. abs. or construct
xnh,No data
dydyh,preposition with pronominal suffix
)m';,verb peal
$ytyN,numeral plural absolute
$nyN;,noun pl. absolute
wl),conjunction | adverb
