text,merged_lexicon
dmcry,conjunction | verb pael
zyqy;,noun pl. emphatic
"""mr"";",No data
yrq)n);,noun sg. emphatic
"""mtwq"";",No data
xwly);,noun sg. emphatic
rb,noun sg. emphatic
xm),No data
mtny,verb (h)aphel
lh,preposition with pronominal suffix
l(ylwyyh;,preposition proclitic | noun sg. emphatic
"""xd"";",No data
xmr,noun sg. abs. or construct
wplplyN;,conjunction | noun pl. absolute
"""mr;""",No data
)psntyN;,noun sg. abs. or construct
"""mtwq"";",No data
my b){{r}}<d>g;,noun
