text,merged_lexicon
b$lm),adverb
rbnN,noun
qsbry,verb peal
"""(wbdyN",No data
l$bryM;,No data
nr)wt,No data
"(mw;""",No data
d)yk),conjunction | adverb
lmymr,preposition with pronominal suffix | verb peal
mynh,preposition independent
