text,merged_lexicon
lr',preposition proclitic
yhwdh;,No data
cryk);,adjective singular absolute or construct
w)y,conjunction | conjunction
)$m(ynN,verb (h)aphel
hny,preposition independent
trty;,numeral singular determined
m$wM,conjunction
dl),conjunction | adverb
ydy(,verb peal
$bxyhw;,noun sg. emphatic
)bl,No data
