text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,text_transformed,merged_lexicon
tn),"Masekhet: 71001, Page: 002, Side: 1, Line: 15, Word: 0",noun sg. emphatic,,,,,תנא,noun sg. emphatic
h^y^k),"Masekhet: 71001, Page: 002, Side: 1, Line: 15, Word: 1",a,,,,,היכא,a
q)y,"Masekhet: 71001, Page: 002, Side: 1, Line: 15, Word: 2",verb G,,,,,קאי,verb G
dqtny,"Masekhet: 71001, Page: 002, Side: 1, Line: 15, Word: 3",c,verb G,,,,דקתני,c | verb G
"""m)ymty""","Masekhet: 71001, Page: 002, Side: 1, Line: 15, Word: 4",No data,,,,,מאימתי,No data
wtw;,"Masekhet: 71001, Page: 002, Side: 1, Line: 16, Word: 0",c,X,,,,ותו;,c | X
m)y,"Masekhet: 71001, Page: 002, Side: 1, Line: 16, Word: 1",P01,,,,,מאי,P01
$n),"Masekhet: 71001, Page: 002, Side: 1, Line: 16, Word: 2",verb G,,,,,שנא,verb G
dtny,"Masekhet: 71001, Page: 002, Side: 1, Line: 16, Word: 3",c,verb G,,,,דתני,c | verb G
"""(rbyt""","Masekhet: 71001, Page: 002, Side: 1, Line: 16, Word: 4",No data,,,,,ערבית,No data
bry$),"Masekhet: 71001, Page: 002, Side: 1, Line: 16, Word: 5",a,,,,,ברישא,a
lytny,"Masekhet: 71001, Page: 002, Side: 1, Line: 17, Word: 0",verb G,,,,,ליתני,verb G
"""$xryt""","Masekhet: 71001, Page: 002, Side: 1, Line: 17, Word: 1",No data,,,,,שחרית,No data
bry$);,"Masekhet: 71001, Page: 002, Side: 1, Line: 17, Word: 2",a,,,,,ברישא;,a
tn),"Masekhet: 71001, Page: 002, Side: 1, Line: 17, Word: 3",noun sg. emphatic,,,,,תנא,noun sg. emphatic
)qr',"Masekhet: 71001, Page: 002, Side: 1, Line: 17, Word: 4",noun sg. emphatic,,,,,אקר',noun sg. emphatic
q)y';,"Masekhet: 71001, Page: 002, Side: 1, Line: 17, Word: 5",verb G,,,,,קאי';,verb G
?w?)yb(yt,"Masekhet: 71001, Page: 002, Side: 1, Line: 20, Word: 0",c,verb G,,,,ואיבעית,c | verb G
)ym';,"Masekhet: 71001, Page: 002, Side: 1, Line: 20, Word: 1",verb G,,,,,אימ';,verb G
ylyP,"Masekhet: 71001, Page: 002, Side: 1, Line: 20, Word: 2",V,,,,,יליף,V
"""mbryytw","Masekhet: 71001, Page: 002, Side: 1, Line: 20, Word: 3",No data,,,,,מברייתו,No data
$l,"Masekhet: 71001, Page: 002, Side: 1, Line: 20, Word: 4",No data,,,,,של,No data
"(wlM""","Masekhet: 71001, Page: 002, Side: 1, Line: 20, Word: 5",No data,,,,,עולם,No data
lytny,"Masekhet: 71001, Page: 002, Side: 1, Line: 24, Word: 0",verb G,,,,,ליתני,verb G
"""(rbyt""","Masekhet: 71001, Page: 002, Side: 1, Line: 24, Word: 1",No data,,,,,ערבית,No data
bry$';,"Masekhet: 71001, Page: 002, Side: 1, Line: 25, Word: 0",noun sg. emphatic,,,,,בריש';,noun sg. emphatic
tn),"Masekhet: 71001, Page: 002, Side: 1, Line: 25, Word: 1",noun sg. emphatic,,,,,תנא,noun sg. emphatic
ptx,"Masekhet: 71001, Page: 002, Side: 1, Line: 25, Word: 2",verb G,,,,,פתח,verb G
"""(rbyt""","Masekhet: 71001, Page: 002, Side: 1, Line: 25, Word: 3",No data,,,,,ערבית,No data
bry?$?<)..>,"Masekhet: 71001, Page: 002, Side: 1, Line: 25, Word: 4",a,,,,,ברישא,a
whdr,"Masekhet: 71001, Page: 002, Side: 1, Line: 25, Word: 5",c,verb G,,,,והדר,c | verb G
tn),"Masekhet: 71001, Page: 002, Side: 1, Line: 26, Word: 0",verb G,,,,,תנא,verb G
"""$xryt"";","Masekhet: 71001, Page: 002, Side: 1, Line: 26, Word: 1",No data,,,,,שחרית;,No data
w)yydy,"Masekhet: 71001, Page: 002, Side: 1, Line: 26, Word: 2",c,c,,,,ואיידי,c | c
dq)y,"Masekhet: 71001, Page: 002, Side: 1, Line: 26, Word: 3",c,verb G,,,,דקאי,c | verb G
"""b$xryt""","Masekhet: 71001, Page: 002, Side: 1, Line: 26, Word: 4",No data,,,,,בשחרית,No data
pry$,"Masekhet: 71001, Page: 002, Side: 1, Line: 26, Word: 5",verb D,,,,,פריש,verb D
myly,"Masekhet: 71001, Page: 002, Side: 1, Line: 26, Word: 6",noun pl. emphatic,,,,,מילי,noun pl. emphatic
"""d$xryt"";","Masekhet: 71001, Page: 002, Side: 1, Line: 26, Word: 7",No data,,,,,דשחרית;,No data
whdr,"Masekhet: 71001, Page: 002, Side: 1, Line: 27, Word: 0",c,verb G,,,,והדר,c | verb G
pry$,"Masekhet: 71001, Page: 002, Side: 1, Line: 27, Word: 1",verb G,,,,,פריש,verb G
myly,"Masekhet: 71001, Page: 002, Side: 1, Line: 27, Word: 2",noun pl. emphatic,,,,,מילי,noun pl. emphatic
"""d(rbyt"";","Masekhet: 71001, Page: 002, Side: 1, Line: 27, Word: 3",No data,,,,,דערבית;,No data
mkdy,"Masekhet: 71001, Page: 002, Side: 1, Line: 28, Word: 0",a,,,,,מכדי,a
khn?y?,"Masekhet: 71001, Page: 002, Side: 1, Line: 28, Word: 1",noun pl. emphatic,,,,,כהני,noun pl. emphatic
)ymt,"Masekhet: 71001, Page: 002, Side: 1, Line: 28, Word: 2",c,,,,,אימת,c
^q)^,"Masekhet: 71001, Page: 002, Side: 1, Line: 28, Word: 3",a,,,,,קא,a
)kly,"Masekhet: 71001, Page: 002, Side: 1, Line: 28, Word: 4",verb G,,,,,אכלי,verb G
"""btrwmh;","Masekhet: 71001, Page: 002, Side: 1, Line: 28, Word: 5",No data,,,,,בתרומה;,No data
m$(h,"Masekhet: 71001, Page: 002, Side: 1, Line: 28, Word: 6",No data,,,,,משעה,No data
c)t,"Masekhet: 71001, Page: 002, Side: 1, Line: 28, Word: 7",No data,,,,,צאת,No data
"hkwkbyM"";","Masekhet: 71001, Page: 002, Side: 1, Line: 28, Word: 8",No data,,,,,הכוכבים;,No data
lytny,"Masekhet: 71001, Page: 002, Side: 1, Line: 29, Word: 0",verb G,,,,,ליתני,verb G
"""m$(h","Masekhet: 71001, Page: 002, Side: 1, Line: 29, Word: 1",No data,,,,,משעה,No data
c)t,"Masekhet: 71001, Page: 002, Side: 1, Line: 29, Word: 2",No data,,,,,צאת,No data
"hkwkbyM"";","Masekhet: 71001, Page: 002, Side: 1, Line: 29, Word: 3",No data,,,,,הכוכבים;,No data
mylt),"Masekhet: 71001, Page: 002, Side: 1, Line: 30, Word: 0",noun sg. emphatic,,,,,מילתא,noun sg. emphatic
)gb )wr?xyh?,"Masekhet: 71001, Page: 002, Side: 1, Line: 30, Word: 1",p,,,,,אגב אורחיה,p
qm'l;,"Masekhet: 71001, Page: 002, Side: 1, Line: 30, Word: 2",verb C,,,,,קמ'ל;,verb C
dkhny,"Masekhet: 71001, Page: 002, Side: 1, Line: 30, Word: 3",c,noun pl. emphatic,,,,דכהני,c | noun pl. emphatic
)ymt,"Masekhet: 71001, Page: 002, Side: 1, Line: 30, Word: 4",c,,,,,אימת,c
)kly,"Masekhet: 71001, Page: 002, Side: 1, Line: 30, Word: 5",verb G,,,,,אכלי,verb G
"""btrwmh"";","Masekhet: 71001, Page: 002, Side: 1, Line: 30, Word: 6",No data,,,,,בתרומה;,No data
wqm'l,"Masekhet: 71001, Page: 002, Side: 1, Line: 33, Word: 0",c,verb C,,,,וקמ'ל,c | verb C
l?),"Masekhet: 71001, Page: 002, Side: 1, Line: 33, Word: 1",a,,,,,לא,a
m?(kb),"Masekhet: 71001, Page: 002, Side: 1, Line: 33, Word: 2",verb D,,,,,מעכבא,verb D
lhw;,"Masekhet: 71001, Page: 002, Side: 1, Line: 33, Word: 3",p,,,,,להו;,p
wmm)y,"Masekhet: 71001, Page: 002, Side: 1, Line: 35, Word: 0",c,P01,,,,וממאי,c | P01
dh)y,"Masekhet: 71001, Page: 002, Side: 1, Line: 35, Word: 1",c,P01,,,,דהאי,c | P01
hw);,"Masekhet: 71001, Page: 002, Side: 1, Line: 35, Word: 2",P01,,,,,הוא;,P01
wm)y,"Masekhet: 71001, Page: 002, Side: 1, Line: 35, Word: 3",c,P01,,,,ומאי,c | P01
"""wThr"";","Masekhet: 71001, Page: 002, Side: 1, Line: 35, Word: 4",No data,,,,,וטהר;,No data
Thr,"Masekhet: 71001, Page: 002, Side: 1, Line: 35, Word: 5",verb G,,,,,טהר,verb G
ywm);,"Masekhet: 71001, Page: 002, Side: 1, Line: 35, Word: 6",noun sg. emphatic,,,,,יומא;,noun sg. emphatic
dylm',"Masekhet: 71001, Page: 002, Side: 2, Line: 01, Word: 0",c,,,,,דילמ',c
"""by)t","Masekhet: 71001, Page: 002, Side: 2, Line: 01, Word: 1",No data,,,,,ביאת,No data
")wrw""","Masekhet: 71001, Page: 002, Side: 2, Line: 01, Word: 2",No data,,,,,אורו,No data
hw);,"Masekhet: 71001, Page: 002, Side: 2, Line: 01, Word: 3",P01,,,,,הוא;,P01
wm)y,"Masekhet: 71001, Page: 002, Side: 2, Line: 01, Word: 4",c,P01,,,,ומאי,c | P01
"""wThr"";","Masekhet: 71001, Page: 002, Side: 2, Line: 01, Word: 5",No data,,,,,וטהר;,No data
Thr,"Masekhet: 71001, Page: 002, Side: 2, Line: 01, Word: 6",verb G,,,,,טהר,verb G
gbr);,"Masekhet: 71001, Page: 002, Side: 2, Line: 01, Word: 7",noun sg. emphatic,,,,,גברא;,noun sg. emphatic
wm)y,"Masekhet: 71001, Page: 002, Side: 2, Line: 03, Word: 0",c,P01,,,,ומאי,c | P01
"""wThr"";","Masekhet: 71001, Page: 002, Side: 2, Line: 03, Word: 1",No data,,,,,וטהר;,No data
Thr,"Masekhet: 71001, Page: 002, Side: 2, Line: 03, Word: 2",verb G,,,,,טהר,verb G
ywm);,"Masekhet: 71001, Page: 002, Side: 2, Line: 03, Word: 3",noun sg. emphatic,,,,,יומא;,noun sg. emphatic
kd)mry,"Masekhet: 71001, Page: 002, Side: 2, Line: 03, Word: 4",p,verb G,,,,כדאמרי,p | verb G
)yn$y;,"Masekhet: 71001, Page: 002, Side: 2, Line: 03, Word: 5",noun pl. emphatic,,,,,אינשי;,noun pl. emphatic
)y(?rb,"Masekhet: 71001, Page: 002, Side: 2, Line: 03, Word: 6",verb Gt,,,,,איערב,verb Gt
$?m$),"Masekhet: 71001, Page: 002, Side: 2, Line: 04, Word: 0",noun sg. emphatic,,,,,שמשא,noun sg. emphatic
w)ydky,"Masekhet: 71001, Page: 002, Side: 2, Line: 04, Word: 1",c,verb Dt,,,,ואידכי,c | verb Dt
ywm);,"Masekhet: 71001, Page: 002, Side: 2, Line: 04, Word: 2",noun sg. emphatic,,,,,יומא;,noun sg. emphatic
?b?m(rb),"Masekhet: 71001, Page: 002, Side: 2, Line: 04, Word: 3",p02,noun sg. emphatic,,,,במערבא,p02 | noun sg. emphatic
h),"Masekhet: 71001, Page: 002, Side: 2, Line: 04, Word: 4",P01,,,,,הא,P01
drbh,"Masekhet: 71001, Page: 002, Side: 2, Line: 04, Word: 5",p,,,,,דרבה,p
br,"Masekhet: 71001, Page: 002, Side: 2, Line: 04, Word: 6",noun sg. abs. or construct,,,,,בר,noun sg. abs. or construct
$yl),"Masekhet: 71001, Page: 002, Side: 2, Line: 05, Word: 0",No data,,,,,שילא,No data
^<l)#10#>,"Masekhet: 71001, Page: 002, Side: 2, Line: 05, Word: 1",a,,,,,לא,a
$my(,"Masekhet: 71001, Page: 002, Side: 2, Line: 05, Word: 2",verb G,,,,,שמיע,verb G
lhw,"Masekhet: 71001, Page: 002, Side: 2, Line: 05, Word: 3",p,,,,,להו,p
w^b(w,"Masekhet: 71001, Page: 002, Side: 2, Line: 05, Word: 4",c,verb G,,,,ובעו,c | verb G
lh,"Masekhet: 71001, Page: 002, Side: 2, Line: 05, Word: 5",p02,,,,,לה,p02
myb();,"Masekhet: 71001, Page: 002, Side: 2, Line: 05, Word: 6",verb G,,,,,מיבעא;,verb G
h)y,"Masekhet: 71001, Page: 002, Side: 2, Line: 06, Word: 0",P01,,,,,האי,P01
^hw)^;,"Masekhet: 71001, Page: 002, Side: 2, Line: 06, Word: 1",P01,,,,,הוא;,P01
wm)y,"Masekhet: 71001, Page: 002, Side: 2, Line: 06, Word: 2",c,P01,,,,ומאי,c | P01
"""wThr"";","Masekhet: 71001, Page: 002, Side: 2, Line: 06, Word: 3",No data,,,,,וטהר;,No data
Thr,"Masekhet: 71001, Page: 002, Side: 2, Line: 07, Word: 0",verb G,,,,,טהר,verb G
ywm);,"Masekhet: 71001, Page: 002, Side: 2, Line: 07, Word: 1",noun sg. emphatic,,,,,יומא;,noun sg. emphatic
)w,"Masekhet: 71001, Page: 002, Side: 2, Line: 07, Word: 2",c,,,,,או,c
dylm),"Masekhet: 71001, Page: 002, Side: 2, Line: 07, Word: 3",c,,,,,דילמא,c
"""by)t","Masekhet: 71001, Page: 002, Side: 2, Line: 07, Word: 4",No data,,,,,ביאת,No data
")wrw""","Masekhet: 71001, Page: 002, Side: 2, Line: 07, Word: 5",No data,,,,,אורו,No data
hw);,"Masekhet: 71001, Page: 002, Side: 2, Line: 07, Word: 6",P01,,,,,הוא;,P01
wm)y,"Masekhet: 71001, Page: 002, Side: 2, Line: 07, Word: 7",c,P01,,,,ומאי,c | P01
"""wT<hr#10#>"";","Masekhet: 71001, Page: 002, Side: 2, Line: 08, Word: 0",No data,,,,,וטהר;,No data
Thr,"Masekhet: 71001, Page: 002, Side: 2, Line: 08, Word: 1",verb G,,,,,טהר,verb G
?gb?r);,"Masekhet: 71001, Page: 002, Side: 2, Line: 08, Word: 2",noun sg. emphatic,,,,,גברא;,noun sg. emphatic
wp$Twh,"Masekhet: 71001, Page: 002, Side: 2, Line: 08, Word: 3",c,verb G,,,,ופשטוה,c | verb G
myh),"Masekhet: 71001, Page: 002, Side: 2, Line: 08, Word: 4",a,,,,,מיהא,a
dqtny,"Masekhet: 71001, Page: 002, Side: 2, Line: 08, Word: 5",c,verb G,,,,דקתני,c | verb G
bbryyt);,"Masekhet: 71001, Page: 002, Side: 2, Line: 08, Word: 6",p02,noun sg. emphatic,,,,בברייתא;,p02 | noun sg. emphatic
$m(,"Masekhet: 71001, Page: 002, Side: 2, Line: 10, Word: 0",verb G,,,,,שמע,verb G
mynh,"Masekhet: 71001, Page: 002, Side: 2, Line: 10, Word: 1",p02,,,,,מינה,p02
"""by)t","Masekhet: 71001, Page: 002, Side: 2, Line: 10, Word: 2",No data,,,,,ביאת,No data
"$m$w""","Masekhet: 71001, Page: 002, Side: 2, Line: 10, Word: 3",No data,,,,,שמשו,No data
hw);,"Masekhet: 71001, Page: 002, Side: 2, Line: 10, Word: 4",P01,,,,,הוא;,P01
wm)y,"Masekhet: 71001, Page: 002, Side: 2, Line: 10, Word: 5",c,P01,,,,ומאי,c | P01
"""wThr"";","Masekhet: 71001, Page: 002, Side: 2, Line: 10, Word: 6",No data,,,,,וטהר;,No data
Thr,"Masekhet: 71001, Page: 002, Side: 2, Line: 10, Word: 7",verb G,,,,,טהר,verb G
ywm),"Masekhet: 71001, Page: 002, Side: 2, Line: 11, Word: 0",noun sg. emphatic,,,,,יומא,noun sg. emphatic
syph,"Masekhet: 71001, Page: 002, Side: 2, Line: 12, Word: 0",noun sg. emphatic,,,,,סיפה,noun sg. emphatic
wd)y,"Masekhet: 71001, Page: 002, Side: 2, Line: 15, Word: 0",X,,,,,ודאי,X
plyg),"Masekhet: 71001, Page: 002, Side: 2, Line: 15, Word: 1",verb G,,,,,פליגא,verb G
)mtny';,"Masekhet: 71001, Page: 002, Side: 2, Line: 15, Word: 2",noun sg. emphatic,,,,,אמתני';,noun sg. emphatic
ry$),"Masekhet: 71001, Page: 002, Side: 2, Line: 15, Word: 3",noun sg. emphatic,,,,,רישא,noun sg. emphatic
my,"Masekhet: 71001, Page: 002, Side: 2, Line: 15, Word: 4",c,,,,,מי,c
nym),"Masekhet: 71001, Page: 002, Side: 2, Line: 15, Word: 5",verb G,,,,,נימא,verb G
dplyg);,"Masekhet: 71001, Page: 002, Side: 2, Line: 15, Word: 6",c,verb G,,,,דפליגא;,c | verb G
qsbr,"Masekhet: 71001, Page: 002, Side: 2, Line: 15, Word: 7",verb G,,,,,קסבר,verb G
"""(ny","Masekhet: 71001, Page: 002, Side: 2, Line: 15, Word: 8",No data,,,,,עני,No data
"wkhN""","Masekhet: 71001, Page: 002, Side: 2, Line: 15, Word: 9",No data,,,,,וכהן,No data
xd,"Masekhet: 71001, Page: 002, Side: 2, Line: 16, Word: 0",n01,,,,,חד,n01
$y(wr),"Masekhet: 71001, Page: 002, Side: 2, Line: 16, Word: 1",noun sg. emphatic,,,,,שיעורא,noun sg. emphatic
hw);,"Masekhet: 71001, Page: 002, Side: 2, Line: 16, Word: 2",P01,,,,,הוא;,P01
"""w(ny","Masekhet: 71001, Page: 002, Side: 2, Line: 16, Word: 3",No data,,,,,ועני,No data
"wkhN""","Masekhet: 71001, Page: 002, Side: 2, Line: 16, Word: 4",No data,,,,,וכהן,No data
xd,"Masekhet: 71001, Page: 002, Side: 2, Line: 16, Word: 5",n01,,,,,חד,n01
$y(wr),"Masekhet: 71001, Page: 002, Side: 2, Line: 16, Word: 6",noun sg. emphatic,,,,,שיעורא,noun sg. emphatic
hw);,"Masekhet: 71001, Page: 002, Side: 2, Line: 16, Word: 7",P01,,,,,הוא;,P01
mky,"Masekhet: 71001, Page: 002, Side: 2, Line: 25, Word: 0",c,,,,,מכי,c
(yrwb,"Masekhet: 71001, Page: 002, Side: 2, Line: 25, Word: 1",noun sg. abs. or construct,,,,,עירוב,noun sg. abs. or construct
$<m$)>,"Masekhet: 71001, Page: 002, Side: 2, Line: 26, Word: 0",noun sg. emphatic,,,,,שמשא,noun sg. emphatic
l?y?ly),"Masekhet: 71001, Page: 002, Side: 2, Line: 26, Word: 1",noun sg. emphatic,,,,,ליליא,noun sg. emphatic
h?w?),"Masekhet: 71001, Page: 002, Side: 2, Line: 26, Word: 2",P01,,,,,הוא,P01
w)ynhw,"Masekhet: 71001, Page: 002, Side: 2, Line: 26, Word: 3",c,P01,,,,ואינהו,c | P01
hw),"Masekhet: 71001, Page: 002, Side: 2, Line: 26, Word: 4",P01,,,,,הוא,P01
dmqdmy,"Masekhet: 71001, Page: 002, Side: 2, Line: 26, Word: 5",verb C,,,,,דמקדמי,verb C
wmx$ky;,"Masekhet: 71001, Page: 002, Side: 2, Line: 26, Word: 6",c,verb C,,,,ומחשכי;,c | verb C
w)y,"Masekhet: 71001, Page: 002, Side: 2, Line: 29, Word: 0",c,c,,,,ואי,c | c
)?mr?t,"Masekhet: 71001, Page: 002, Side: 2, Line: 29, Word: 1",verb G,,,,,אמרת,verb G
"""(ny","Masekhet: 71001, Page: 002, Side: 2, Line: 29, Word: 2",No data,,,,,עני,No data
"wkhN""","Masekhet: 71001, Page: 002, Side: 2, Line: 29, Word: 3",No data,,,,,וכהן,No data
x?d,"Masekhet: 71001, Page: 002, Side: 2, Line: 29, Word: 4",n01,,,,,חד,n01
<$y(w>r?),"Masekhet: 71001, Page: 002, Side: 2, Line: 29, Word: 5",noun sg. emphatic,,,,,שיעורא,noun sg. emphatic
hw);,"Masekhet: 71001, Page: 002, Side: 2, Line: 29, Word: 6",P01,,,,,הוא;,P01
r',"Masekhet: 71001, Page: 002, Side: 2, Line: 29, Word: 7",No data,,,,,ר',No data
m)yr,"Masekhet: 71001, Page: 002, Side: 2, Line: 30, Word: 0",No data,,,,,מאיר,No data
hyynw,"Masekhet: 71001, Page: 002, Side: 2, Line: 30, Word: 1",P01,,,,,היינו,P01
rbnN;,"Masekhet: 71001, Page: 002, Side: 2, Line: 30, Word: 2",N,,,,,רבנן;,N
)l),"Masekhet: 71001, Page: 002, Side: 2, Line: 30, Word: 3",c,,,,,אלא,c
l)w,"Masekhet: 71001, Page: 002, Side: 2, Line: 30, Word: 4",a,,,,,לאו,a
$'m;,"Masekhet: 71001, Page: 002, Side: 2, Line: 30, Word: 5",verb G,,,,,ש'מ;,verb G
$y(wr),"Masekhet: 71001, Page: 002, Side: 2, Line: 30, Word: 6",noun sg. emphatic,,,,,שיעורא,noun sg. emphatic
"""d(ny""","Masekhet: 71001, Page: 002, Side: 2, Line: 30, Word: 7",No data,,,,,דעני,No data
lxwd,"Masekhet: 71001, Page: 002, Side: 2, Line: 31, Word: 0",a,,,,,לחוד,a
<w$>?(w?r),"Masekhet: 71001, Page: 002, Side: 2, Line: 31, Word: 1",c,noun sg. emphatic,,,,ושעורא,c | noun sg. emphatic
"""dkhN""","Masekhet: 71001, Page: 002, Side: 2, Line: 31, Word: 2",No data,,,,,דכהן,No data
lxwd;,"Masekhet: 71001, Page: 002, Side: 2, Line: 31, Word: 3",a,,,,,לחוד;,a
{{wdylm)}},"Masekhet: 71001, Page: 002, Side: 2, Line: 31, Word: 4",c,c,,,,ודילמא,c | c
^l)^,"Masekhet: 71001, Page: 002, Side: 2, Line: 31, Word: 5",a,,,,,לא,a
"""(ny","Masekhet: 71001, Page: 002, Side: 2, Line: 31, Word: 6",No data,,,,,עני,No data
"wkhN""","Masekhet: 71001, Page: 002, Side: 2, Line: 31, Word: 7",No data,,,,,וכהן,No data
xd,"Masekhet: 71001, Page: 002, Side: 2, Line: 31, Word: 8",n01,,,,,חד,n01
$y(wr),"Masekhet: 71001, Page: 002, Side: 2, Line: 32, Word: 0",noun sg. emphatic,,,,,שיעורא,noun sg. emphatic
hw),"Masekhet: 71001, Page: 002, Side: 2, Line: 32, Word: 1",P01,,,,,הוא,P01
"""w(ny","Masekhet: 71001, Page: 002, Side: 2, Line: 32, Word: 2",No data,,,,,ועני,No data
wbny,"Masekhet: 71001, Page: 002, Side: 2, Line: 32, Word: 3",No data,,,,,ובני,No data
")dM""","Masekhet: 71001, Page: 002, Side: 2, Line: 32, Word: 4",No data,,,,,אדם,No data
^l)w,"Masekhet: 71001, Page: 002, Side: 2, Line: 32, Word: 6",a,,,,,לאו,a
xd^,"Masekhet: 71001, Page: 002, Side: 2, Line: 32, Word: 7",n01,,,,,חד,n01
$y?(wr?),"Masekhet: 71001, Page: 002, Side: 2, Line: 32, Word: 8",noun sg. emphatic,,,,,שיעורא,noun sg. emphatic
"""dkhN""","Masekhet: 71001, Page: 002, Side: 2, Line: 32, Word: 9",No data,,,,,דכהן,No data
hw);,"Masekhet: 71001, Page: 002, Side: 2, Line: 32, Word: 10",P01,,,,,הוא;,P01
w)y,"Masekhet: 71001, Page: 002, Side: 2, Line: 43, Word: 0",c,c,,,,ואי,c | c
)mrt,"Masekhet: 71001, Page: 002, Side: 2, Line: 43, Word: 1",verb G,,,,,אמרת,verb G
"""(ny","Masekhet: 71001, Page: 002, Side: 2, Line: 43, Word: 2",No data,,,,,עני,No data
"wkhN""","Masekhet: 71001, Page: 002, Side: 2, Line: 43, Word: 3",No data,,,,,וכהן,No data
xd,"Masekhet: 71001, Page: 002, Side: 2, Line: 43, Word: 4",n01,,,,,חד,n01
$y(wr),"Masekhet: 71001, Page: 002, Side: 2, Line: 43, Word: 5",noun sg. emphatic,,,,,שיעורא,noun sg. emphatic
hw);,"Masekhet: 71001, Page: 002, Side: 2, Line: 43, Word: 6",P01,,,,,הוא;,P01
xnnyh,"Masekhet: 71001, Page: 002, Side: 2, Line: 43, Word: 7",No data,,,,,חנניה,No data
hyynw,"Masekhet: 71001, Page: 002, Side: 2, Line: 43, Word: 8",P01,,,,,היינו,P01
<r'>,"Masekhet: 71001, Page: 002, Side: 2, Line: 44, Word: 0",No data,,,,,ר',No data
yhw$(;,"Masekhet: 71001, Page: 002, Side: 2, Line: 44, Word: 1",No data,,,,,יהושע;,No data
)l),"Masekhet: 71001, Page: 002, Side: 2, Line: 44, Word: 2",c,,,,,אלא,c
l)w,"Masekhet: 71001, Page: 002, Side: 2, Line: 44, Word: 3",a,,,,,לאו,a
$'m;,"Masekhet: 71001, Page: 002, Side: 2, Line: 44, Word: 4",verb G,,,,,ש'מ;,verb G
$y(wr),"Masekhet: 71001, Page: 002, Side: 2, Line: 44, Word: 5",noun sg. emphatic,,,,,שיעורא,noun sg. emphatic
"""d(ny""","Masekhet: 71001, Page: 002, Side: 2, Line: 44, Word: 6",No data,,,,,דעני,No data
lxwd;,"Masekhet: 71001, Page: 002, Side: 2, Line: 45, Word: 0",a,,,,,לחוד;,a
w$y(wr),"Masekhet: 71001, Page: 002, Side: 2, Line: 45, Word: 1",c,noun sg. emphatic,,,,ושיעורא,c | noun sg. emphatic
"""dkhN""","Masekhet: 71001, Page: 002, Side: 2, Line: 45, Word: 2",No data,,,,,דכהן,No data
lxwd;,"Masekhet: 71001, Page: 002, Side: 2, Line: 45, Word: 3",a,,,,,לחוד;,a
$'m;,"Masekhet: 71001, Page: 002, Side: 2, Line: 45, Word: 4",verb G,,,,,ש'מ;,verb G
why,"Masekhet: 71001, Page: 002, Side: 2, Line: 46, Word: 0",c,P,,,,והי,c | P
m<ynyhw#10#>,"Masekhet: 71001, Page: 002, Side: 2, Line: 46, Word: 1",p02,,,,,מיניהו,p02
"""m)wxr"";","Masekhet: 71001, Page: 002, Side: 2, Line: 46, Word: 2",No data,,,,,מאוחר;,No data
mstbr),"Masekhet: 71001, Page: 002, Side: 2, Line: 46, Word: 3",verb Gt,,,,,מסתברא,verb Gt
"""d(ny","Masekhet: 71001, Page: 002, Side: 2, Line: 46, Word: 4",No data,,,,,דעני,No data
"m)wxr""","Masekhet: 71001, Page: 002, Side: 2, Line: 46, Word: 5",No data,,,,,מאוחר,No data
d)y,"Masekhet: 71001, Page: 002, Side: 2, Line: 46, Word: 6",c,c,,,,דאי,c | c
)mrt,"Masekhet: 71001, Page: 002, Side: 2, Line: 47, Word: 0",verb G,,,,,אמרת,verb G
"""d(ny""","Masekhet: 71001, Page: 002, Side: 2, Line: 47, Word: 1",No data,,,,,דעני,No data
qdyM;,"Masekhet: 71001, Page: 002, Side: 2, Line: 47, Word: 2",verb G,,,,,קדים;,verb G
my,"Masekhet: 71001, Page: 002, Side: 2, Line: 51, Word: 0",c,,,,,מי,c
sbrt,"Masekhet: 71001, Page: 002, Side: 2, Line: 51, Word: 1",verb G,,,,,סברת,verb G
d)n),"Masekhet: 71001, Page: 002, Side: 2, Line: 51, Word: 2",c,P01,,,,דאנא,c | P01
"""byN","Masekhet: 71001, Page: 002, Side: 2, Line: 51, Word: 3",No data,,,,,בין,No data
"h$m$wt""","Masekhet: 71001, Page: 002, Side: 2, Line: 51, Word: 4",No data,,,,,השמשות,No data
dydK,"Masekhet: 71001, Page: 002, Side: 2, Line: 51, Word: 5",P02,,,,,דידך,P02
q),"Masekhet: 71001, Page: 002, Side: 2, Line: 51, Word: 6",a,,,,,קא,a
)myn);,"Masekhet: 71001, Page: 002, Side: 2, Line: 51, Word: 7",verb G,,,,,אמינא;,verb G
)n),"Masekhet: 71001, Page: 002, Side: 2, Line: 51, Word: 8",P01,,,,,אנא,P01
"""byN","Masekhet: 71001, Page: 002, Side: 2, Line: 51, Word: 9",No data,,,,,בין,No data
"h$m$wt""","Masekhet: 71001, Page: 002, Side: 2, Line: 51, Word: 10",No data,,,,,השמשות,No data
dr',"Masekhet: 71001, Page: 002, Side: 2, Line: 52, Word: 0",p,,,,,דר',p
ywsy,"Masekhet: 71001, Page: 002, Side: 2, Line: 52, Word: 1",No data,,,,,יוסי,No data
sbyr),"Masekhet: 71001, Page: 002, Side: 2, Line: 52, Word: 2",verb G,,,,,סבירא,verb G
ly,"Masekhet: 71001, Page: 002, Side: 2, Line: 52, Word: 3",p02,,,,,לי,p02
