text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,text_transformed,merged_lexicon
m(lyyt),"Masekhet: 71001, Page: 008, Side: 1, Line: 36, Word: 7",A05,,,,,מעלייתא,A05
d)mrt,"Masekhet: 71001, Page: 008, Side: 1, Line: 37, Word: 0",c,verb G,,,,דאמרת,c | verb G
lN,"Masekhet: 71001, Page: 008, Side: 1, Line: 37, Word: 1",p02,,,,,לן,p02
m$myh,"Masekhet: 71001, Page: 008, Side: 1, Line: 37, Word: 2",noun sg. emphatic,,,,,משמיה,noun sg. emphatic
drb,"Masekhet: 71001, Page: 008, Side: 1, Line: 37, Word: 3",p,noun sg. emphatic,,,,דרב,p | noun sg. emphatic
xsd),"Masekhet: 71001, Page: 008, Side: 1, Line: 37, Word: 4",No data,,,,,חסדא,No data
bmyly,"Masekhet: 71001, Page: 008, Side: 1, Line: 37, Word: 5",p02,noun pl. emphatic,,,,במילי,p02 | noun pl. emphatic
dby kny$t);,"Masekhet: 71001, Page: 008, Side: 1, Line: 37, Word: 6",p,noun sg. emphatic,,,,דבי כנישתא;,p | noun sg. emphatic
r',"Masekhet: 71001, Page: 008, Side: 1, Line: 44, Word: 0",No data,,,,,ר',No data
)my,"Masekhet: 71001, Page: 008, Side: 1, Line: 44, Word: 1",No data,,,,,אמי,No data
wr',"Masekhet: 71001, Page: 008, Side: 1, Line: 44, Word: 2",c,,,,,ור',c
)sy,"Masekhet: 71001, Page: 008, Side: 1, Line: 44, Word: 3",No data,,,,,אסי,No data
)('g,"Masekhet: 71001, Page: 008, Side: 1, Line: 44, Word: 4",c,,,,,אע'ג,c
dhww,"Masekhet: 71001, Page: 008, Side: 1, Line: 44, Word: 5",c,verb G,,,,דהוו,c | verb G
tlysr,"Masekhet: 71001, Page: 008, Side: 1, Line: 44, Word: 6",n01,,,,,תליסר,n01
bty kny$t),"Masekhet: 71001, Page: 008, Side: 1, Line: 44, Word: 7",noun pl. emphatic,,,,,בתי כנישתא,noun pl. emphatic
bTbry);,"Masekhet: 71001, Page: 008, Side: 1, Line: 44, Word: 8",p02,,,,,בטבריא;,p02
l),"Masekhet: 71001, Page: 008, Side: 1, Line: 44, Word: 9",a,,,,,לא,a
hww,"Masekhet: 71001, Page: 008, Side: 1, Line: 44, Word: 10",verb G,,,,,הוו,verb G
mclw,"Masekhet: 71001, Page: 008, Side: 1, Line: 44, Word: 11",verb D,,,,,מצלו,verb D
)l),"Masekhet: 71001, Page: 008, Side: 1, Line: 44, Word: 12",c,,,,,אלא,c
byny,"Masekhet: 71001, Page: 008, Side: 1, Line: 44, Word: 13",p01,,,,,ביני,p01
(mwdy,"Masekhet: 71001, Page: 008, Side: 1, Line: 45, Word: 0",noun pl. emphatic,,,,,עמודי,noun pl. emphatic
hyk),"Masekhet: 71001, Page: 008, Side: 1, Line: 45, Word: 1",a,,,,,היכא,a
dhww,"Masekhet: 71001, Page: 008, Side: 1, Line: 45, Word: 2",c,verb G,,,,דהוו,c | verb G
grsy,"Masekhet: 71001, Page: 008, Side: 1, Line: 45, Word: 3",verb G,,,,,גרסי,verb G
wytby;,"Masekhet: 71001, Page: 008, Side: 1, Line: 45, Word: 4",c,verb G,,,,ויתבי;,c | verb G
mry$),"Masekhet: 71001, Page: 008, Side: 1, Line: 46, Word: 0",No data,,,,,מרישא,No data
hwh,"Masekhet: 71001, Page: 008, Side: 1, Line: 46, Word: 1",No data,,,,,הוה,No data
grysn),"Masekhet: 71001, Page: 008, Side: 1, Line: 46, Word: 2",No data,,,,,גריסנא,No data
bgw,"Masekhet: 71001, Page: 008, Side: 1, Line: 46, Word: 3",No data,,,,,בגו,No data
byt),"Masekhet: 71001, Page: 008, Side: 1, Line: 46, Word: 4",No data,,,,,ביתא,No data
wmclyn),"Masekhet: 71001, Page: 008, Side: 1, Line: 46, Word: 5",No data,,,,,ומצלינא,No data
bgw,"Masekhet: 71001, Page: 008, Side: 1, Line: 46, Word: 6",No data,,,,,בגו,No data
kny$t);,"Masekhet: 71001, Page: 008, Side: 1, Line: 47, Word: 0",No data,,,,,כנישתא;,No data
kywN,"Masekhet: 71001, Page: 008, Side: 1, Line: 47, Word: 1",No data,,,,,כיון,No data
d$m(t),"Masekhet: 71001, Page: 008, Side: 1, Line: 47, Word: 2",No data,,,,,דשמעתא,No data
lh),"Masekhet: 71001, Page: 008, Side: 1, Line: 47, Word: 3",No data,,,,,להא,No data
d)m',"Masekhet: 71001, Page: 008, Side: 1, Line: 47, Word: 4",No data,,,,,דאמ',No data
r',"Masekhet: 71001, Page: 008, Side: 1, Line: 47, Word: 5",No data,,,,,ר',No data
xyy),"Masekhet: 71001, Page: 008, Side: 1, Line: 47, Word: 6",No data,,,,,חייא,No data
br,"Masekhet: 71001, Page: 008, Side: 1, Line: 47, Word: 7",No data,,,,,בר,No data
)my,"Masekhet: 71001, Page: 008, Side: 1, Line: 47, Word: 8",No data,,,,,אמי,No data
m$myh,"Masekhet: 71001, Page: 008, Side: 1, Line: 47, Word: 9",No data,,,,,משמיה,No data
d(wl);,"Masekhet: 71001, Page: 008, Side: 1, Line: 47, Word: 10",No data,,,,,דעולא;,No data
l),"Masekhet: 71001, Page: 008, Side: 1, Line: 48, Word: 0",No data,,,,,לא,No data
hwh,"Masekhet: 71001, Page: 008, Side: 1, Line: 48, Word: 1",No data,,,,,הוה,No data
mclyn),"Masekhet: 71001, Page: 008, Side: 1, Line: 48, Word: 2",No data,,,,,מצלינא,No data
)l),"Masekhet: 71001, Page: 008, Side: 1, Line: 48, Word: 3",No data,,,,,אלא,No data
hyk),"Masekhet: 71001, Page: 008, Side: 1, Line: 48, Word: 4",No data,,,,,היכא,No data
dhwh,"Masekhet: 71001, Page: 008, Side: 1, Line: 48, Word: 5",No data,,,,,דהוה,No data
grysn),"Masekhet: 71001, Page: 008, Side: 1, Line: 48, Word: 6",No data,,,,,גריסנא,No data
l),"Masekhet: 71001, Page: 008, Side: 1, Line: 49, Word: 0",a,,,,,לא,a
q$y';,"Masekhet: 71001, Page: 008, Side: 1, Line: 49, Word: 1",A01,,,,,קשי';,A01
h),"Masekhet: 71001, Page: 008, Side: 1, Line: 49, Word: 2",P01,,,,,הא,P01
dkyyP,"Masekhet: 71001, Page: 008, Side: 1, Line: 49, Word: 3",c,verb G,,,,דכייף,c | verb G
lyh,"Masekhet: 71001, Page: 008, Side: 1, Line: 49, Word: 4",p,,,,,ליה,p
lrbyh;,"Masekhet: 71001, Page: 008, Side: 1, Line: 49, Word: 5",p03,noun sg. emphatic,,,,לרביה;,p03 | noun sg. emphatic
h),"Masekhet: 71001, Page: 008, Side: 1, Line: 49, Word: 6",P01,,,,,הא,P01
dl),"Masekhet: 71001, Page: 008, Side: 1, Line: 49, Word: 7",c,a,,,,דלא,c | a
kyyP,"Masekhet: 71001, Page: 008, Side: 1, Line: 49, Word: 8",verb G,,,,,כייף,verb G
lyh,"Masekhet: 71001, Page: 008, Side: 1, Line: 49, Word: 9",p,,,,,ליה,p
r',"Masekhet: 71001, Page: 008, Side: 1, Line: 50, Word: 0",No data,,,,,ר',No data
)bhw,"Masekhet: 71001, Page: 008, Side: 1, Line: 50, Word: 1",No data,,,,,אבהו,No data
npyq,"Masekhet: 71001, Page: 008, Side: 1, Line: 50, Word: 2",verb G,,,,,נפיק,verb G
byN,"Masekhet: 71001, Page: 008, Side: 1, Line: 50, Word: 3",p01,,,,,בין,p01
gbr),"Masekhet: 71001, Page: 008, Side: 1, Line: 50, Word: 4",noun sg. emphatic,,,,,גברא,noun sg. emphatic
lgbr);,"Masekhet: 71001, Page: 008, Side: 1, Line: 50, Word: 5",p03,noun sg. emphatic,,,,לגברא;,p03 | noun sg. emphatic
b(y,"Masekhet: 71001, Page: 008, Side: 1, Line: 51, Word: 0",verb G,,,,,בעי,verb G
rb,"Masekhet: 71001, Page: 008, Side: 1, Line: 51, Word: 1",noun sg. emphatic,,,,,רב,noun sg. emphatic
pp);,"Masekhet: 71001, Page: 008, Side: 1, Line: 51, Word: 2",No data,,,,,פפא;,No data
byN,"Masekhet: 71001, Page: 008, Side: 1, Line: 51, Word: 3",p01,,,,,בין,p01
pswq),"Masekhet: 71001, Page: 008, Side: 1, Line: 51, Word: 4",noun sg. emphatic,,,,,פסוקא,noun sg. emphatic
lpswq),"Masekhet: 71001, Page: 008, Side: 1, Line: 51, Word: 5",p03,noun sg. emphatic,,,,לפסוקא,p03 | noun sg. emphatic
m)y;,"Masekhet: 71001, Page: 008, Side: 1, Line: 51, Word: 6",P01,,,,,מאי;,P01
tyqw;,"Masekhet: 71001, Page: 008, Side: 1, Line: 51, Word: 7",verb G,,,,,תיקו;,verb G
rb,"Masekhet: 71001, Page: 008, Side: 1, Line: 51, Word: 8",noun sg. emphatic,,,,,רב,noun sg. emphatic
$$t,"Masekhet: 71001, Page: 008, Side: 1, Line: 51, Word: 9",No data,,,,,ששת,No data
mhdr,"Masekhet: 71001, Page: 008, Side: 1, Line: 51, Word: 10",verb C,,,,,מהדר,verb C
)pyh,"Masekhet: 71001, Page: 008, Side: 1, Line: 51, Word: 11",noun pl. emphatic,,,,,אפיה,noun pl. emphatic
wgrys;,"Masekhet: 71001, Page: 008, Side: 1, Line: 51, Word: 12",c,verb G,,,,וגריס;,c | verb G
)m';,"Masekhet: 71001, Page: 008, Side: 1, Line: 51, Word: 13",verb G,,,,,אמ';,verb G
)ynhw,"Masekhet: 71001, Page: 008, Side: 1, Line: 51, Word: 14",P01,,,,,אינהו,P01
bdydhw,"Masekhet: 71001, Page: 008, Side: 1, Line: 51, Word: 15",p02,P02,,,,בדידהו,p02 | P02
w)nN,"Masekhet: 71001, Page: 008, Side: 1, Line: 51, Word: 16",c,P01,,,,ואנן,c | P01
bdydN,"Masekhet: 71001, Page: 008, Side: 1, Line: 51, Word: 17",p02,P02,,,,בדידן,p02 | P02
rb,"Masekhet: 71001, Page: 008, Side: 2, Line: 03, Word: 0",noun sg. emphatic,,,,,רב,noun sg. emphatic
byby,"Masekhet: 71001, Page: 008, Side: 2, Line: 03, Word: 1",No data,,,,,ביבי,No data
br,"Masekhet: 71001, Page: 008, Side: 2, Line: 03, Word: 2",noun sg. abs. or construct,,,,,בר,noun sg. abs. or construct
)byy,"Masekhet: 71001, Page: 008, Side: 2, Line: 03, Word: 3",No data,,,,,אביי,No data
sbr,"Masekhet: 71001, Page: 008, Side: 2, Line: 03, Word: 4",verb G,,,,,סבר,verb G
l)$lwmynhw,"Masekhet: 71001, Page: 008, Side: 2, Line: 03, Word: 5",p02,verb G,,,,לאשלומינהו,p02 | verb G
lklhw,"Masekhet: 71001, Page: 008, Side: 2, Line: 03, Word: 6",p03,kl,,,,לכלהו,p03 | kl
"""pr$ywt""","Masekhet: 71001, Page: 008, Side: 2, Line: 03, Word: 7",No data,,,,,פרשיות,No data
dkwl',"Masekhet: 71001, Page: 008, Side: 2, Line: 04, Word: 0",c,noun sg. emphatic,,,,דכול',c | noun sg. emphatic
$t),"Masekhet: 71001, Page: 008, Side: 2, Line: 04, Word: 1",noun sg. emphatic,,,,,שתא,noun sg. emphatic
bm(ly,"Masekhet: 71001, Page: 008, Side: 2, Line: 04, Word: 2",p02,noun sg. abs. or construct,,,,במעלי,p02 | noun sg. abs. or construct
ywm) dkypwry;,"Masekhet: 71001, Page: 008, Side: 2, Line: 04, Word: 3",N,,,,,יומא דכיפורי;,N
sbr,"Masekhet: 71001, Page: 008, Side: 2, Line: 09, Word: 0",verb G,,,,,סבר,verb G
l)qdwmynhw;,"Masekhet: 71001, Page: 008, Side: 2, Line: 09, Word: 1",p02,verb C,,,,לאקדומינהו;,p02 | verb C
)m',"Masekhet: 71001, Page: 008, Side: 2, Line: 10, Word: 0",verb G,,,,,אמ',verb G
lyh,"Masekhet: 71001, Page: 008, Side: 2, Line: 10, Word: 1",p,,,,,ליה,p
hhw),"Masekhet: 71001, Page: 008, Side: 2, Line: 10, Word: 2",P01,,,,,ההוא,P01
sb),"Masekhet: 71001, Page: 008, Side: 2, Line: 10, Word: 3",noun sg. emphatic,,,,,סבא,noun sg. emphatic
..;,"Masekhet: 71001, Page: 008, Side: 2, Line: 10, Word: 4",No data,,,,,;,No data
)m',"Masekhet: 71001, Page: 008, Side: 2, Line: 10, Word: 5",verb G,,,,,אמ',verb G
lhw,"Masekhet: 71001, Page: 008, Side: 2, Line: 10, Word: 6",p03,,,,,להו,p03
)byy,"Masekhet: 71001, Page: 008, Side: 2, Line: 10, Word: 7",No data,,,,,אביי,No data
lbnyh;,"Masekhet: 71001, Page: 008, Side: 2, Line: 12, Word: 0",p03,noun pl. emphatic,,,,לבניה;,p03 | noun pl. emphatic
)$lymw,"Masekhet: 71001, Page: 008, Side: 2, Line: 12, Word: 1",verb C,,,,,אשלימו,verb C
"""pr$ywtykN","Masekhet: 71001, Page: 008, Side: 2, Line: 12, Word: 2",No data,,,,,פרשיותיכן,No data
"..."";","Masekhet: 71001, Page: 008, Side: 2, Line: 12, Word: 3",No data,,,,,;,No data
)yk),"Masekhet: 71001, Page: 008, Side: 2, Line: 18, Word: 0",a,,,,,איכא,a
d)mry;,"Masekhet: 71001, Page: 008, Side: 2, Line: 18, Word: 1",c,verb G,,,,דאמרי;,c | verb G
dl),"Masekhet: 71001, Page: 008, Side: 2, Line: 18, Word: 2",c,a,,,,דלא,c | a
tygny,"Masekhet: 71001, Page: 008, Side: 2, Line: 18, Word: 3",verb G,,,,,תיגני,verb G
bl),"Masekhet: 71001, Page: 008, Side: 2, Line: 18, Word: 4",p01,,,,,בלא,p01
"""qryt","Masekhet: 71001, Page: 008, Side: 2, Line: 18, Word: 5",No data,,,,,קרית,No data
"$m(""","Masekhet: 71001, Page: 008, Side: 2, Line: 18, Word: 6",No data,,,,,שמע,No data
)yk),"Masekhet: 71001, Page: 008, Side: 2, Line: 19, Word: 0",a,,,,,איכא,a
d)mry;,"Masekhet: 71001, Page: 008, Side: 2, Line: 19, Word: 1",c,verb G,,,,דאמרי;,c | verb G
dl),"Masekhet: 71001, Page: 008, Side: 2, Line: 19, Word: 2",c,a,,,,דלא,c | a
tynsyb,"Masekhet: 71001, Page: 008, Side: 2, Line: 19, Word: 3",verb Gt,,,,,תינסיב,verb Gt
