text,merged_lexicon
pTr,verb peal
lyh,preposition with pronominal suffix
lgbr),preposition proclitic | noun sg. emphatic
"""mpsx"";",No data
wq),conjunction | adverb
pryK,verb peal
r',No data
(qy',No data
lqwl);,preposition proclitic | noun sg. emphatic
