text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
kwwty,"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 9",p,,,,,like,,,,כוותי,kwwt kwwt p02 C,preposition,like,0.011474337643859508,16,,17
)m',"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 10",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,16,,17
lyh,"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 11",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,16,,17
(l,"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 12",p01 C,,,,,upon; against; to,,,,על,(l,preposition independent (h)aphel,upon; against; to,0.9638443620841988,16,,17
rbyh,"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 13",noun sg. emphatic,,,,,chief; teacher,,,,רביה,rb,noun sg. emphatic,chief; teacher,1.192183681197003,16,,17
)n),"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 14",P01 C,,,,,I,,,,אנא,)nh,preposition independent (h)aphel,I,0.30406994756227695,16,,17
plyg,"Masekhet: 5330025, Page: 16, Side: c, Line: 17, Word: 15",verb G,,,,,to divide (trans.),to be in the middle,"to be distinctive, outstanding","to be halved, become divided",פליג,plg,verb peal,"to divide (trans.) | to be in the middle | to be distinctive, outstanding | to be halved, become divided",0.3075122488554348,16,,17
"""l)","Masekhet: 5330025, Page: 16, Side: c, Line: 18, Word: 0",No data,,,,,,,,,לא,None,No data,,23.98480797695953,16,,18
kl,"Masekhet: 5330025, Page: 16, Side: c, Line: 18, Word: 1",No data,,,,,,,,,כל,None,No data,,23.98480797695953,16,,18
"$kN""","Masekhet: 5330025, Page: 16, Side: c, Line: 18, Word: 2",No data,,,,,,,,,שכן,None,No data,,23.98480797695953,16,,18
(ylwyh,"Masekhet: 5330025, Page: 16, Side: c, Line: 18, Word: 3",p,,,,,"above, on top of",,,,עילויה,(ylwwy (ylwwy p02 C,preposition,"above, on top of",0.003442301293157852,16,,18
r',"Masekhet: 5330025, Page: 16, Side: c, Line: 21, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,16,,21
