text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
mydwN,"Masekhet: 5330034, Page: 18, Side: a, Line: 34, Word: 8",verb G,,,,,to judge,to bring a lawsuit,to determine,,מידון,dwn,verb peal,to judge | to bring a lawsuit | to determine,0.04245504928228018,18,,34
qwmwy,"Masekhet: 5330034, Page: 18, Side: a, Line: 34, Word: 9",p02,,,,,before,,,,קומוי,qwmy,preposition with pronominal suffix,before,0.5392938692613969,18,,34
)m',"Masekhet: 5330034, Page: 18, Side: a, Line: 34, Word: 10",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,18,,34
lyh,"Masekhet: 5330034, Page: 18, Side: a, Line: 34, Word: 11",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,18,,34
"""(l","Masekhet: 5330034, Page: 18, Side: a, Line: 34, Word: 12",No data,,,,,,,,,על,None,No data,,23.98480797695953,18,,34
"mnt""","Masekhet: 5330034, Page: 18, Side: a, Line: 34, Word: 13",No data,,,,,,,,,מנת,None,No data,,23.98480797695953,18,,34
"""$tdynnw","Masekhet: 5330034, Page: 18, Side: a, Line: 35, Word: 0",No data,,,,,,,,,שתדיננו,None,No data,,23.98480797695953,18,,35
dyN,"Masekhet: 5330034, Page: 18, Side: a, Line: 35, Word: 1",No data,,,,,,,,,דין,None,No data,,23.98480797695953,18,,35
twrh,"Masekhet: 5330034, Page: 18, Side: a, Line: 35, Word: 2",No data,,,,,,,,,תורה,None,No data,,23.98480797695953,18,,35
)m',"Masekhet: 5330034, Page: 18, Side: a, Line: 35, Word: 3",No data,,,,,,,,,אמ',None,No data,,23.98480797695953,18,,35
lwN,"Masekhet: 5330034, Page: 18, Side: a, Line: 35, Word: 4",No data,,,,,,,,,לון,None,No data,,23.98480797695953,18,,35
)ny,"Masekhet: 5330034, Page: 18, Side: a, Line: 35, Word: 5",No data,,,,,,,,,אני,None,No data,,23.98480797695953,18,,35
)yny,"Masekhet: 5330034, Page: 18, Side: a, Line: 35, Word: 6",No data,,,,,,,,,איני,None,No data,,23.98480797695953,18,,35
ywd(,"Masekhet: 5330034, Page: 18, Side: a, Line: 35, Word: 7",No data,,,,,,,,,יודע,None,No data,,23.98480797695953,18,,35
dyN,"Masekhet: 5330034, Page: 18, Side: a, Line: 35, Word: 8",No data,,,,,,,,,דין,None,No data,,23.98480797695953,18,,35
twrh,"Masekhet: 5330034, Page: 18, Side: a, Line: 35, Word: 9",No data,,,,,,,,,תורה,None,No data,,23.98480797695953,18,,35
)l),"Masekhet: 5330034, Page: 18, Side: a, Line: 35, Word: 10",No data,,,,,,,,,אלא,None,No data,,23.98480797695953,18,,35
hywd(,"Masekhet: 5330034, Page: 18, Side: a, Line: 35, Word: 11",No data,,,,,,,,,היודע,None,No data,,23.98480797695953,18,,35
"mx$bwt""","Masekhet: 5330034, Page: 18, Side: a, Line: 35, Word: 12",No data,,,,,,,,,מחשבות,None,No data,,23.98480797695953,18,,35
"""ypr(","Masekhet: 5330034, Page: 18, Side: a, Line: 36, Word: 0",No data,,,,,,,,,יפרע,None,No data,,23.98480797695953,18,,36
m)wtN,"Masekhet: 5330034, Page: 18, Side: a, Line: 36, Word: 1",No data,,,,,,,,,מאותן,None,No data,,23.98480797695953,18,,36
"h)n$yM""","Masekhet: 5330034, Page: 18, Side: a, Line: 36, Word: 2",No data,,,,,,,,,האנשים,None,No data,,23.98480797695953,18,,36
mqblyN,"Masekhet: 5330034, Page: 18, Side: a, Line: 36, Word: 3",verb D,,,,,"to receive, to accept",idioms:,,,מקבלין,qbl,verb pael,"to receive, to accept | idioms:",0.0814677972714025,18,,36
(lykwN,"Masekhet: 5330034, Page: 18, Side: a, Line: 36, Word: 4",p02,,,,,upon; against; to,,,,עליכון,(l,preposition with pronominal suffix,upon; against; to,0.9638443620841988,18,,36
mh,"Masekhet: 5330034, Page: 18, Side: a, Line: 36, Word: 5",c,,,,,what,,,,מה,mh,conjunction,what,0.6574795469931498,18,,36
dn),"Masekhet: 5330034, Page: 18, Side: a, Line: 36, Word: 6",P01,c,,,,I,,,,דנא,d_ d_ c,preposition independent | conjunction,I,1.2495553694163004,18,,36
)mr,"Masekhet: 5330034, Page: 18, Side: a, Line: 36, Word: 7",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,18,,36
lkwN,"Masekhet: 5330034, Page: 18, Side: a, Line: 36, Word: 8",p01,,,,,,,,,לכון,l_,preposition independent,,5.087721311287306,18,,36
r',"Masekhet: 5330034, Page: 18, Side: a, Line: 36, Word: 9",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,18,,36
(qybh,"Masekhet: 5330034, Page: 18, Side: a, Line: 36, Word: 10",PN Personal name,,,,,,,,,עקיבה,(qybh,proper name Personal name,,0.05737168821929754,18,,36
kd,"Masekhet: 5330034, Page: 18, Side: a, Line: 36, Word: 11",c,,,,,when,,,,כד,kd,conjunction,when,0.26964693463069844,18,,36
hwh,"Masekhet: 5330034, Page: 18, Side: a, Line: 36, Word: 12",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוה,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:",1.5777214260306822,18,,36
br n$,"Masekhet: 5330034, Page: 18, Side: a, Line: 36, Word: 13",N,,,,,"human, person",,,,בר נש,brn$ brn$ noun sg. abs. or construct,noun,"human, person",0.19735860747438355,18,,36
)zl,"Masekhet: 5330034, Page: 18, Side: a, Line: 37, Word: 0",verb G,,,,,"to go, move along",to go away,as co-verb : to go ahead and do something,"to be going on, to be happening (colloquial only?)",אזל,)zl,verb peal,"to go, move along | to go away | as co-verb : to go ahead and do something | to be going on, to be happening (colloquial only?)",0.279973838510172,18,,37
b(y,"Masekhet: 5330034, Page: 18, Side: a, Line: 37, Word: 1",verb G,,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,בעי,b(y,verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require",0.4991336875078886,18,,37
mydwN,"Masekhet: 5330034, Page: 18, Side: a, Line: 37, Word: 2",verb G,,,,,to judge,to bring a lawsuit,to determine,,מידון,dwn,verb peal,to judge | to bring a lawsuit | to determine,0.04245504928228018,18,,37
qwmyh,"Masekhet: 5330034, Page: 18, Side: a, Line: 37, Word: 3",p02,,,,,before,,,,קומיה,qwmy,preposition with pronominal suffix,before,0.5392938692613969,18,,37
hwh,"Masekhet: 5330034, Page: 18, Side: a, Line: 37, Word: 4",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוה,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:",1.5777214260306822,18,,37
)m',"Masekhet: 5330034, Page: 18, Side: a, Line: 37, Word: 5",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,18,,37
lyh,"Masekhet: 5330034, Page: 18, Side: a, Line: 37, Word: 6",p01,,,,,,,,,ליה,l_,preposition independent,,5.087721311287306,18,,37
"""hww","Masekhet: 5330034, Page: 18, Side: a, Line: 37, Word: 7",No data,,,,,,,,,הוו,None,No data,,23.98480797695953,18,,37
ywd(yN,"Masekhet: 5330034, Page: 18, Side: a, Line: 37, Word: 8",No data,,,,,,,,,יודעין,None,No data,,23.98480797695953,18,,37
lpny,"Masekhet: 5330034, Page: 18, Side: a, Line: 37, Word: 9",No data,,,,,,,,,לפני,None,No data,,23.98480797695953,18,,37
my,"Masekhet: 5330034, Page: 18, Side: a, Line: 37, Word: 10",No data,,,,,,,,,מי,None,No data,,23.98480797695953,18,,37
)tM,"Masekhet: 5330034, Page: 18, Side: a, Line: 37, Word: 11",No data,,,,,,,,,אתם,None,No data,,23.98480797695953,18,,37
"(wmdyN""","Masekhet: 5330034, Page: 18, Side: a, Line: 37, Word: 12",No data,,,,,,,,,עומדין,None,No data,,23.98480797695953,18,,37
)m',"Masekhet: 5330034, Page: 18, Side: a, Line: 40, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,18,,40
r',"Masekhet: 5330034, Page: 18, Side: a, Line: 40, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,18,,40
$m(wN,"Masekhet: 5330034, Page: 18, Side: a, Line: 40, Word: 2",PN Personal name,,,,,,,,,שמעון,$m(wN,proper name Personal name,,0.29948021250473317,18,,40
"""bN""","Masekhet: 5330034, Page: 18, Side: a, Line: 40, Word: 3",No data,,,,,,,,,בן,None,No data,,23.98480797695953,18,,40
ywxy,"Masekhet: 5330034, Page: 18, Side: a, Line: 40, Word: 4",PN Personal name,,,,,,,,,יוחי,ywxy,proper name Personal name,,0.020653807758947117,18,,40
bryK,"Masekhet: 5330034, Page: 18, Side: a, Line: 40, Word: 5",A01,,,,,blessed,,,,בריך,bryk,adjective singular absolute or construct,blessed,0.018358940230175213,18,,40
rxmn),"Masekhet: 5330034, Page: 18, Side: a, Line: 40, Word: 6",A,,,,,merciful,,,,רחמנא,rxmn rxmn noun sg. emphatic,adjective,merciful,0.020653807758947117,18,,40
dly n),"Masekhet: 5330034, Page: 18, Side: a, Line: 41, Word: 0",c,verb G,,,,,,,,דלי נא,lyt,conjunction | verb peal,,0.5083131576229762,18,,41
xkyM,"Masekhet: 5330034, Page: 18, Side: a, Line: 41, Word: 1",A01 C,,,,,wise,,,,חכים,xkym,adjective singular absolute or construct (h)aphel,wise,0.021801241523333067,18,,41
mydwN,"Masekhet: 5330034, Page: 18, Side: a, Line: 41, Word: 2",verb G,,,,,to judge,to bring a lawsuit,to determine,,מידון,dwn,verb peal,to judge | to bring a lawsuit | to determine,0.04245504928228018,18,,41
)lP,"Masekhet: 5330034, Page: 18, Side: a, Line: 58, Word: 0",n02 C,,,,,thousand,,,,אלף,)lp,numeral singular determined (h)aphel,thousand,0.03557044669596448,18,,58
ry$yh,"Masekhet: 5330034, Page: 18, Side: a, Line: 58, Word: 1",N,,,,,head; top; chief,,,,רישיה,r)$ r)$ noun sg. emphatic,noun,head; top; chief,0.05737168821929754,18,,58
d)lp) byt),"Masekhet: 5330034, Page: 18, Side: a, Line: 58, Word: 2",N,p,,,,alphabet,,,,דאלפא ביתא,d_ d_ p,noun | preposition,alphabet,0.49454395245034477,18,,58
mM,"Masekhet: 5330034, Page: 18, Side: a, Line: 58, Word: 3",noun sg. emphatic,,,,,"mem, thirteenth letter",,,,מם,mm,noun sg. emphatic,"mem, thirteenth letter",0.0011474337643859508,18,,58
b)mc(yth,"Masekhet: 5330034, Page: 18, Side: a, Line: 58, Word: 4",A02,p02,,,,middle,"in, with",,,באמצעיתה,b_,adjective singular determined | preposition with pronominal suffix,"middle | in, with",0.9512225906759533,18,,58
tyw,"Masekhet: 5330034, Page: 18, Side: a, Line: 58, Word: 5",noun sg. abs. or construct,,,,,"taw, twenty-second letter",,,,תיו,tyw,noun sg. abs. or construct,"taw, twenty-second letter",0.0011474337643859508,18,,58
bswph,"Masekhet: 5330034, Page: 18, Side: a, Line: 58, Word: 6",p02,noun sg. emphatic,,,,"in, with",end,,,בסופה,swp,preposition with pronominal suffix | noun sg. emphatic,"in, with | end",0.069993459627543,18,,58
r',"Masekhet: 5330034, Page: 18, Side: a, Line: 60, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,18,,60
b),"Masekhet: 5330034, Page: 18, Side: a, Line: 60, Word: 1",PN Personal name,,,,,,,,,בא,b),proper name Personal name,,0.16752532960034883,18,,60
wr',"Masekhet: 5330034, Page: 18, Side: a, Line: 60, Word: 2",N,c,,,,chief; teacher,"and, also",,,ור',w_,noun | conjunction,"chief; teacher | and, also",5.046413695769412,18,,60
bnymN,"Masekhet: 5330034, Page: 18, Side: a, Line: 60, Word: 3",PN Personal name,,,,,,,,,בנימן,bnymN,proper name Personal name,,0.006884602586315704,18,,60
br,"Masekhet: 5330034, Page: 18, Side: a, Line: 60, Word: 4",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son,0.7733703571961309,18,,60
ypt,"Masekhet: 5330034, Page: 18, Side: a, Line: 60, Word: 5",PN Personal name,,,,,,,,,יפת,ypt,proper name Personal name,,0.0011474337643859508,18,,60
hww,"Masekhet: 5330034, Page: 18, Side: a, Line: 60, Word: 6",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוו,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:",1.5777214260306822,18,,60
dyynyN,"Masekhet: 5330034, Page: 18, Side: a, Line: 60, Word: 7",verb G,,,,,to judge,to bring a lawsuit,to determine,,דיינין,dwn,verb peal,to judge | to bring a lawsuit | to determine,0.04245504928228018,18,,60
qwmy,"Masekhet: 5330034, Page: 18, Side: a, Line: 60, Word: 8",p01 C,,,,,before,,,,קומי,qwmy,preposition independent (h)aphel,before,0.5392938692613969,18,,60
r',"Masekhet: 5330034, Page: 18, Side: a, Line: 61, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,18,,61
ycxq,"Masekhet: 5330034, Page: 18, Side: a, Line: 61, Word: 1",PN Personal name,,,,,,,,,יצחק,ycxq,proper name Personal name,,0.1376920517263141,18,,61
wnpq,"Masekhet: 5330034, Page: 18, Side: a, Line: 61, Word: 2",verb G,c,,,,"to go out, come out, leave","to turn into, end up differently from how it started","to be spent, i.e. used up, consumed",": similar to, appropriate for",ונפק,w_,verb peal | conjunction,"to go out, come out, leave | to turn into, end up differently from how it started | to be spent, i.e. used up, consumed | : similar to, appropriate for",5.046413695769412,18,,61
dyn),"Masekhet: 5330034, Page: 18, Side: a, Line: 61, Word: 3",noun sg. emphatic,,,,,judgment,,,,דינא,dyn,noun sg. emphatic,judgment,0.055076820690525635,18,,61
(M,"Masekhet: 5330034, Page: 18, Side: a, Line: 61, Word: 4",p01 C,,,,,with,,,,עם,(m,preposition independent (h)aphel,with,0.23751878922789182,18,,61
r',"Masekhet: 5330034, Page: 18, Side: a, Line: 61, Word: 5",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,18,,61
bnymN,"Masekhet: 5330034, Page: 18, Side: a, Line: 61, Word: 6",PN Personal name,,,,,,,,,בנימן,bnymN,proper name Personal name,,0.006884602586315704,18,,61
)t),"Masekhet: 5330034, Page: 18, Side: a, Line: 61, Word: 7",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתא,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting,0.7561588507303416,18,,61
r',"Masekhet: 5330034, Page: 18, Side: a, Line: 61, Word: 8",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,18,,61
b),"Masekhet: 5330034, Page: 18, Side: a, Line: 61, Word: 9",PN Personal name,,,,,,,,,בא,b),proper name Personal name,,0.16752532960034883,18,,61
b(y,"Masekhet: 5330034, Page: 18, Side: a, Line: 61, Word: 10",verb G,,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,בעי,b(y,verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require",0.4991336875078886,18,,61
myTrwP,"Masekhet: 5330034, Page: 18, Side: a, Line: 61, Word: 11",verb G,,,,,to strike,to shake something violently to exhaustion,to seize for a debt,,מיטרוף,Trp#2,verb peal,to strike | to shake something violently to exhaustion | to seize for a debt,0.01262177140824546,18,,61
(l,"Masekhet: 5330034, Page: 18, Side: a, Line: 61, Word: 12",p01 C,,,,,upon; against; to,,,,על,(l,preposition independent (h)aphel,upon; against; to,0.9638443620841988,18,,61
r',"Masekhet: 5330034, Page: 18, Side: a, Line: 61, Word: 13",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,18,,61
)my,"Masekhet: 5330034, Page: 18, Side: a, Line: 61, Word: 14",PN Personal name,,,,,,,,,אמי,)my,proper name Personal name,,0.0768780622138587,18,,61
w)lP,"Masekhet: 5330034, Page: 18, Side: a, Line: 61, Word: 15",verb D,c,,,,to teach (w. double object of learner and subject),to make accustomed to,,,ואלף,w_,verb pael | conjunction,to teach (w. double object of learner and subject) | to make accustomed to,5.046413695769412,18,,61
"""mwmxh","Masekhet: 5330034, Page: 18, Side: a, Line: 62, Word: 0",No data,,,,,,,,,מומחה,None,No data,,23.98480797695953,18,,62
$kpP,"Masekhet: 5330034, Page: 18, Side: a, Line: 62, Word: 1",No data,,,,,,,,,שכפף,None,No data,,23.98480797695953,18,,62
wdN,"Masekhet: 5330034, Page: 18, Side: a, Line: 62, Word: 2",No data,,,,,,,,,ודן,None,No data,,23.98480797695953,18,,62
dynw,"Masekhet: 5330034, Page: 18, Side: a, Line: 62, Word: 3",No data,,,,,,,,,דינו,None,No data,,23.98480797695953,18,,62
"dyN""","Masekhet: 5330034, Page: 18, Side: a, Line: 62, Word: 4",No data,,,,,,,,,דין,None,No data,,23.98480797695953,18,,62
r',"Masekhet: 5330034, Page: 18, Side: a, Line: 62, Word: 5",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,18,,62
)bhw,"Masekhet: 5330034, Page: 18, Side: a, Line: 62, Word: 6",PN Personal name,,,,,,,,,אבהו,)bhw,proper name Personal name,,0.10097417126596368,18,,62
hwh,"Masekhet: 5330034, Page: 18, Side: a, Line: 62, Word: 7",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוה,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:",1.5777214260306822,18,,62
ytyb,"Masekhet: 5330034, Page: 18, Side: a, Line: 62, Word: 8",verb G,,,,,to sit,to dwell,to settle down,to be inhabited,יתיב,ytb,verb peal,to sit | to dwell | to settle down | to be inhabited,0.162935594542805,18,,62
