text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
)ym),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. emphatic,,,,,mother,,,,אימא,)m,noun sg. emphatic,mother
l)b),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. emphatic,p03,,,,father,,,,לאבא,l_,noun sg. emphatic | preposition proclitic,father
xkyM,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to know,"to be made wise, acquire wisdom","to know someone, recognize",,חכים,xkm,verb peal,"to know | to be made wise, acquire wisdom | to know someone, recognize"
l),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",a01C,,,,,"no, not",,,,לא,l),a01C,"no, not"
)n),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",P01C,,,,,I,,,,אנא,)nh,P01C,I
c{r}<d>ny)#01#,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",A,,,,,Sidonian,,,,צדניא,cyydnyy,adjective,Sidonian
ywsy,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,
r',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2,noun,chief; teacher
byh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p02C,,,,,"in, with",,,,ביה,b_,p02C,"in, with"
mt(sqyN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb Dt,,,,,to occupy oneself,to be difficult,to be grieved,,מתעסקין,(sq,verb ethpaal,to occupy oneself | to be difficult | to be grieved
l),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",a01C,,,,,"no, not",,,,לא,l),a01C,"no, not"
(l ydy,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,,,,,because,,,,על ידי,(l@ydy,conjunction,because
nqyyN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",A03,,,,,clean; dedicated,,,,נקיין,nqy,adjective plural absolute,clean; dedicated
dmnyhwN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p,noun pl. emphatic,,,,vessel; garment,,,,דמניהון,m)n,preposition | noun pl. emphatic,vessel; garment
"""hm$th""","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,המשתה,None,No data,
"""byt""","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,בית,None,No data,
byh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p02C,,,,,"in, with",,,,ביה,b_,p02C,"in, with"
mt(sqyN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb Dt,,,,,to occupy oneself,to be difficult,to be grieved,,מתעסקין,(sq,verb ethpaal,to occupy oneself | to be difficult | to be grieved
l),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",a01C,,,,,"no, not",,,,לא,l),a01C,"no, not"
d)ynwN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,R,,,,they,,,,דאינון,hynwn,conjunction | R,they
(l ydy,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,,,,,because,,,,על ידי,(l@ydy,conjunction,because
kny(yN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,"to bend down, be in a posture of submission",,,,כניעין,kn(,verb peal,"to bend down, be in a posture of submission"
"h)bl""","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,האבל,None,No data,
"""byt","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,בית,None,No data,
$m(wN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",PN Personal name,,,,,,,,,שמעון,$m(wN,proper name Personal name,
dr',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p,N,,,,chief; teacher,,,,דר',rby#2,preposition | noun,chief; teacher
m)y,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",R,,,,,what is it?,,,,מאי,mhy),R,what is it?
byh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p02C,,,,,"in, with",,,,ביה,b_,p02C,"in, with"
^T(m)^,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to taste,"to eat, dine",,,טעמא,T(m,verb peal,"to taste | to eat, dine"
mt(sqyN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb Dt,,,,,to occupy oneself,to be difficult,to be grieved,,מתעסקין,(sq,verb ethpaal,to occupy oneself | to be difficult | to be grieved
pxyzyN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to be lewd,,,,פחיזין,pxz,verb peal,to be lewd
d)ynwN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,R,,,,they,,,,דאינון,hynwn,conjunction | R,they
(l ydy,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,,,,,because,,,,על ידי,(l@ydy,conjunction,because
"hm$th""","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,המשתה,None,No data,
bbyt,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,בבית,None,No data,
mt(sqyN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb Dt,,,,,to occupy oneself,to be difficult,to be grieved,,מתעסקין,(sq,verb ethpaal,to occupy oneself | to be difficult | to be grieved
"""bw","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,בו,None,No data,
c{w})yN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",A03,,,,,filthy,,,,צאין,c)y,adjective plural absolute,filthy
^dmnyhwN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,noun pl. emphatic,,,,vessel; garment,,,,דמניהון,m)n,conjunction | noun pl. emphatic,vessel; garment
(l ydy,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,,,,,because,,,,על ידי,(l@ydy,conjunction,because
"""bbyt","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,בבית,None,No data,
"h)bl""","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,האבל,None,No data,
m)yr,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",PN Personal name,,,,,,,,,מאיר,m)yr,proper name Personal name,
^dr',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,N,,,,chief; teacher,,,,דר',rby#2,conjunction | noun,chief; teacher
T(',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. emphatic,,,,,taste; order,,,,טע',T(m,noun sg. emphatic,taste; order
m)y,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",R,,,,,what is it?,,,,מאי,mhy),R,what is it?
byh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p02C,,,,,"in, with",,,,ביה,b_,p02C,"in, with"
mt(sqyN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb Dt,,,,,to occupy oneself,to be difficult,to be grieved,,מתעסקין,(sq,verb ethpaal,to occupy oneself | to be difficult | to be grieved
pxyzyN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to be lewd,,,,פחיזין,pxz,verb peal,to be lewd
d)ynwN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,R,,,,they,,,,דאינון,hynwn,conjunction | R,they
(l ydy,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,,,,,because,,,,על ידי,(l@ydy,conjunction,because
"hm$th""","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,המשתה,None,No data,
"""byt","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,בית,None,No data,
byh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p02C,,,,,"in, with",,,,ביה,b_,p02C,"in, with"
mt(sqyN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb Dt,,,,,to occupy oneself,to be difficult,to be grieved,,מתעסקין,(sq,verb ethpaal,to occupy oneself | to be difficult | to be grieved
kny(yN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,"to bend down, be in a posture of submission",,,,כניעין,kn(,verb peal,"to bend down, be in a posture of submission"
l),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",a01C,,,,,"no, not",,,,לא,l),a01C,"no, not"
d)ynwN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,R,,,,they,,,,דאינון,hynwn,conjunction | R,they
(l ydy,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,,,,,because,,,,על ידי,(l@ydy,conjunction,because
"h)bl""","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,האבל,None,No data,
ywsy,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,
"""byt","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,בית,None,No data,
dr',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p,N,,,,chief; teacher,,,,דר',rby#2,preposition | noun,chief; teacher
T(',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. emphatic,,,,,taste; order,,,,טע',T(m,noun sg. emphatic,taste; order
mh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",P01,,,,,what?,,,,מה,mh,preposition independent,what?
byh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p02C,,,,,"in, with",,,,ביה,b_,p02C,"in, with"
t(sqyN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb Dt,,,,,to occupy oneself,to be difficult,to be grieved,,תעסקין,(sq,verb ethpaal,to occupy oneself | to be difficult | to be grieved
c)y<y>N#01#,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",A03,,,,,filthy,,,,צאיין,c)y,adjective plural absolute,filthy
dmnyhwN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,noun pl. emphatic,,,,vessel; garment,,,,דמניהון,m)n,conjunction | noun pl. emphatic,vessel; garment
(l ydy,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,,,,,because,,,,על ידי,(l@ydy,conjunction,because
"h)bl""","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,האבל,None,No data,
"""bbyt","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,בבית,None,No data,
