text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
)$tK,"Masekhet: 5330019, Page: 61, Side: c, Line: 32, Word: 4",No data,,,,,,,,,אשתך,None,No data,,23.98480797695953,61,,32
$m),"Masekhet: 5330019, Page: 61, Side: c, Line: 32, Word: 5",No data,,,,,,,,,שמא,None,No data,,23.98480797695953,61,,32
)ynw,"Masekhet: 5330019, Page: 61, Side: c, Line: 32, Word: 6",No data,,,,,,,,,אינו,None,No data,,23.98480797695953,61,,32
r(,"Masekhet: 5330019, Page: 61, Side: c, Line: 32, Word: 7",No data,,,,,,,,,רע,None,No data,,23.98480797695953,61,,32
"lK""","Masekhet: 5330019, Page: 61, Side: c, Line: 32, Word: 8",No data,,,,,,,,,לך,None,No data,,23.98480797695953,61,,32
)m',"Masekhet: 5330019, Page: 61, Side: c, Line: 32, Word: 9",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,61,,32
lyh,"Masekhet: 5330019, Page: 61, Side: c, Line: 32, Word: 10",p01,,,,,,,,,ליה,l_,preposition independent,,5.087721311287306,61,,32
)yN,"Masekhet: 5330019, Page: 61, Side: c, Line: 32, Word: 11",c,,,,,if,,,,אין,)yn )yn c,conjunction,if,0.327018622849996,61,,32
)m',"Masekhet: 5330019, Page: 61, Side: c, Line: 32, Word: 12",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,61,,32
lyh,"Masekhet: 5330019, Page: 61, Side: c, Line: 32, Word: 13",p01,,,,,,,,,ליה,l_,preposition independent,,5.087721311287306,61,,32
wmky,"Masekhet: 5330019, Page: 61, Side: c, Line: 33, Word: 0",verb C,c,,,,to harm,,,,ומכי,w_,verb (h)aphel | conjunction,to harm,5.046413695769412,61,,33
^hw)^,"Masekhet: 5330019, Page: 61, Side: c, Line: 33, Word: 1",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he,0.6001078587738523,61,,33
lK,"Masekhet: 5330019, Page: 61, Side: c, Line: 33, Word: 2",p01,,,,,,,,,לך,l_,preposition independent,,5.087721311287306,61,,33
klwM,"Masekhet: 5330019, Page: 61, Side: c, Line: 33, Word: 3",P01,,,,,something,,,,כלום,klwm,preposition independent,something,0.14916638937017362,61,,33
)m',"Masekhet: 5330019, Page: 61, Side: c, Line: 33, Word: 4",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,61,,33
lyh,"Masekhet: 5330019, Page: 61, Side: c, Line: 33, Word: 5",p01,,,,,,,,,ליה,l_,preposition independent,,5.087721311287306,61,,33
"""$l)","Masekhet: 5330019, Page: 61, Side: c, Line: 33, Word: 6",No data,,,,,,,,,שלא,None,No data,,23.98480797695953,61,,33
"ttprC""","Masekhet: 5330019, Page: 61, Side: c, Line: 33, Word: 7",No data,,,,,,,,,תתפרץ,None,No data,,23.98480797695953,61,,33
)m',"Masekhet: 5330019, Page: 61, Side: c, Line: 33, Word: 8",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,61,,33
lyh,"Masekhet: 5330019, Page: 61, Side: c, Line: 33, Word: 9",p01,,,,,,,,,ליה,l_,preposition independent,,5.087721311287306,61,,33
"""whk)","Masekhet: 5330019, Page: 61, Side: c, Line: 33, Word: 10",No data,,,,,,,,,והכא,None,No data,,23.98480797695953,61,,33
$l),"Masekhet: 5330019, Page: 61, Side: c, Line: 33, Word: 11",No data,,,,,,,,,שלא,None,No data,,23.98480797695953,61,,33
"ytprcw""","Masekhet: 5330019, Page: 61, Side: c, Line: 33, Word: 12",No data,,,,,,,,,יתפרצו,None,No data,,23.98480797695953,61,,33
""")bl","Masekhet: 5330019, Page: 61, Side: c, Line: 39, Word: 0",No data,,,,,,,,,אבל,None,No data,,23.98480797695953,61,,39
bmnwrh,"Masekhet: 5330019, Page: 61, Side: c, Line: 39, Word: 1",No data,,,,,,,,,במנורה,None,No data,,23.98480797695953,61,,39
$)ynh,"Masekhet: 5330019, Page: 61, Side: c, Line: 39, Word: 2",No data,,,,,,,,,שאינה,None,No data,,23.98480797695953,61,,39
$l,"Masekhet: 5330019, Page: 61, Side: c, Line: 39, Word: 3",No data,,,,,,,,,של,None,No data,,23.98480797695953,61,,39
"prqyM""","Masekhet: 5330019, Page: 61, Side: c, Line: 39, Word: 4",No data,,,,,,,,,פרקים,None,No data,,23.98480797695953,61,,39
l),"Masekhet: 5330019, Page: 61, Side: c, Line: 39, Word: 5",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not",1.3195488290438433,61,,39
