text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
dhwh,"Masekhet: 5330029, Page: 56, Side: b, Line: 31, Word: 9",c,verb G,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,דהוה,hwy,conjunction | verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:",1.5777214260306822,56,,31
r',"Masekhet: 5330029, Page: 56, Side: b, Line: 31, Word: 10",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,56,,31
y(qb,"Masekhet: 5330029, Page: 56, Side: b, Line: 31, Word: 11",PN Personal name,,,,,,,,,יעקב,y(qb,proper name Personal name,,0.11818567773175294,56,,31
br,"Masekhet: 5330029, Page: 56, Side: b, Line: 31, Word: 12",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son,0.7733703571961309,56,,31
)x),"Masekhet: 5330029, Page: 56, Side: b, Line: 31, Word: 13",PN Personal name,,,,,,,,,אחא,)x),proper name Personal name,,0.14113435301947194,56,,31
q)yM,"Masekhet: 5330029, Page: 56, Side: b, Line: 31, Word: 14",verb G,,,,,to rise,"to stand, to be raised up","to stand still, to stop",with various prepositions,קאים,qwm,verb peal,"to rise | to stand, to be raised up | to stand still, to stop | with various prepositions",0.3442301293157853,56,,31
hk),"Masekhet: 5330029, Page: 56, Side: b, Line: 32, Word: 0",a01 C,,,,,here,,,,הכא,hkh,a01 (h)aphel,here,0.23981365675666372,56,,32
w){P}<m'>,"Masekhet: 5330029, Page: 56, Side: b, Line: 32, Word: 1",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,ואמ',w_,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:,5.046413695769412,56,,32
trtyN,"Masekhet: 5330029, Page: 56, Side: b, Line: 32, Word: 2",b,,,,,two,,,,תרתין,tryyn tryyn n01 C,b,two,0.24325595804982159,56,,32
$)ylt),"Masekhet: 5330029, Page: 56, Side: b, Line: 32, Word: 3",N,,,,,request; question,,,,שאילתא,$)ylh $)ylh noun sg. emphatic,noun,request; question,0.011474337643859508,56,,32
dhN,"Masekhet: 5330029, Page: 56, Side: b, Line: 32, Word: 4",P01 C,c,,,,this,,,,דהן,d_ d_ c,preposition independent (h)aphel | conjunction,this,1.2495553694163004,56,,32
sb),"Masekhet: 5330029, Page: 56, Side: b, Line: 32, Word: 5",noun sg. emphatic,,,,,old man,,,,סבא,sb,noun sg. emphatic,old man,0.05737168821929754,56,,32
"""b)hylwt""","Masekhet: 5330029, Page: 56, Side: b, Line: 32, Word: 6",No data,,,,,,,,,באהילות,None,No data,,23.98480797695953,56,,32
lh<y>d),"Masekhet: 5330029, Page: 56, Side: b, Line: 32, Word: 7",P01 C,p03,,,,which one (f.),,,,להידא,l_,preposition independent (h)aphel | preposition proclitic,which one (f.),5.087721311287306,56,,32
mylh,"Masekhet: 5330029, Page: 56, Side: b, Line: 32, Word: 8",N,,,,,"word, speech; thing",,,,מילה,mylh mylh noun sg. abs. or construct,noun,"word, speech; thing",0.10097417126596368,56,,32
)$kx,"Masekhet: 5330029, Page: 56, Side: b, Line: 45, Word: 0",verb G,,,,,to find,"w. infinitive : to be able to, capable of",impersonal,"‏ : it may well be, it is possible",אשכח,$kx,verb peal,"to find | w. infinitive : to be able to, capable of | impersonal | ‏ : it may well be, it is possible",0.1732624984222786,56,,45
tny,"Masekhet: 5330029, Page: 56, Side: b, Line: 45, Word: 1",verb G,,,,,to repeat,"to narrate, recite",to sift flour [< Rabbinic Hebrew],,תני,tny,verb peal,"to repeat | to narrate, recite | to sift flour [< Rabbinic Hebrew]",0.5679797133710456,56,,45
xbryy),"Masekhet: 5330029, Page: 56, Side: b, Line: 46, Word: 0",noun pl. emphatic,,,,,comrade,,,,חברייא,xbr,noun pl. emphatic,comrade,0.20424321006069926,56,,46
b(wN,"Masekhet: 5330029, Page: 56, Side: b, Line: 46, Word: 1",verb G,,,,,"to seek, look for",to ask a question,"to wish for something, want, request",to require,בעון,b(y,verb peal,"to seek, look for | to ask a question | to wish for something, want, request | to require",0.4991336875078886,56,,46
qwmy,"Masekhet: 5330029, Page: 56, Side: b, Line: 46, Word: 2",p01 C,,,,,before,,,,קומי,qwmy,preposition independent (h)aphel,before,0.5392938692613969,56,,46
r',"Masekhet: 5330029, Page: 56, Side: b, Line: 46, Word: 3",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,56,,46
ywsy,"Masekhet: 5330029, Page: 56, Side: b, Line: 46, Word: 4",PN Personal name,,,,,,,,,יוסי,ywsy,proper name Personal name,,0.37406340718981995,56,,46
xbryy),"Masekhet: 5330029, Page: 56, Side: b, Line: 49, Word: 0",noun pl. emphatic,,,,,comrade,,,,חברייא,xbr,noun pl. emphatic,comrade,0.20424321006069926,56,,49
)mryN,"Masekhet: 5330029, Page: 56, Side: b, Line: 49, Word: 1",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמרין,)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,56,,49
msrs,"Masekhet: 5330029, Page: 56, Side: b, Line: 49, Word: 2",verb D,,,,,to castrate,"to twist, twist around",,,מסרס,srs,verb pael,"to castrate | to twist, twist around",0.003442301293157852,56,,49
qryy),"Masekhet: 5330029, Page: 56, Side: b, Line: 50, Word: 0",noun sg. emphatic,,,,,biblical verse,,,,קרייא,qrh,noun sg. emphatic,biblical verse,0.09638443620841987,56,,50
""")w","Masekhet: 5330029, Page: 56, Side: b, Line: 50, Word: 1",No data,,,,,,,,,או,None,No data,,23.98480797695953,56,,50
bqbr,"Masekhet: 5330029, Page: 56, Side: b, Line: 50, Word: 2",No data,,,,,,,,,בקבר,None,No data,,23.98480797695953,56,,50
)w,"Masekhet: 5330029, Page: 56, Side: b, Line: 50, Word: 3",No data,,,,,,,,,או,None,No data,,23.98480797695953,56,,50
brqb,"Masekhet: 5330029, Page: 56, Side: b, Line: 50, Word: 4",No data,,,,,,,,,ברקב,None,No data,,23.98480797695953,56,,50
"hw)""","Masekhet: 5330029, Page: 56, Side: b, Line: 50, Word: 5",No data,,,,,,,,,הוא,None,No data,,23.98480797695953,56,,50
"""r'","Masekhet: 5330029, Page: 56, Side: b, Line: 59, Word: 0",No data,,,,,,,,,ר',None,No data,,23.98480797695953,56,,59
z(yr),"Masekhet: 5330029, Page: 56, Side: b, Line: 59, Word: 1",No data,,,,,,,,,זעירא,None,No data,,23.98480797695953,56,,59
r',"Masekhet: 5330029, Page: 56, Side: b, Line: 59, Word: 2",No data,,,,,,,,,ר',None,No data,,23.98480797695953,56,,59
xyy),"Masekhet: 5330029, Page: 56, Side: b, Line: 59, Word: 3",No data,,,,,,,,,חייא,None,No data,,23.98480797695953,56,,59
b$M,"Masekhet: 5330029, Page: 56, Side: b, Line: 59, Word: 4",No data,,,,,,,,,בשם,None,No data,,23.98480797695953,56,,59
"r'""","Masekhet: 5330029, Page: 56, Side: b, Line: 59, Word: 5",No data,,,,,,,,,ר',None,No data,,23.98480797695953,56,,59
mxwy,"Masekhet: 5330029, Page: 56, Side: b, Line: 59, Word: 6",verb D,,,,,to show,"to announce, i.e., reveal previously unknown information",to display apparent behavior,,מחוי,xwy,verb pael,"to show | to announce, i.e., reveal previously unknown information | to display apparent behavior",0.01262177140824546,56,,59
hd),"Masekhet: 5330029, Page: 56, Side: b, Line: 59, Word: 7",P01 C,,,,,this (f.),,,,הדא,hd),preposition independent (h)aphel,this (f.),0.6471526431136763,56,,59
dr',"Masekhet: 5330029, Page: 56, Side: b, Line: 59, Word: 8",p,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,preposition | noun,chief; teacher,4.462369909696963,56,,59
m)yr,"Masekhet: 5330029, Page: 56, Side: b, Line: 59, Word: 9",PN Personal name,,,,,,,,,מאיר,m)yr,proper name Personal name,,0.11130107514543723,56,,59
hkyN,"Masekhet: 5330029, Page: 56, Side: b, Line: 59, Word: 10",a01 C,,,,,"so, thus",,,,הכין,hkyn,a01 (h)aphel,"so, thus",0.18588426983052403,56,,59
whd),"Masekhet: 5330029, Page: 56, Side: b, Line: 59, Word: 11",P01 C,c,,,,this (f.),"and, also",,,והדא,w_,preposition independent (h)aphel | conjunction,"this (f.) | and, also",5.046413695769412,56,,59
^drbnN^,"Masekhet: 5330029, Page: 56, Side: b, Line: 60, Word: 0",p,noun pl. emphatic,,,,chief; teacher,,,,דרבנן,rb,preposition | noun pl. emphatic,chief; teacher,1.192183681197003,56,,60
hkyN,"Masekhet: 5330029, Page: 56, Side: b, Line: 60, Word: 1",a01 C,,,,,"so, thus",,,,הכין,hkyn,a01 (h)aphel,"so, thus",0.18588426983052403,56,,60
whwh,"Masekhet: 5330029, Page: 56, Side: c, Line: 02, Word: 0",verb G,c,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,והוה,w_,verb peal | conjunction,"to be | to endure, to exist | to come to pass, to happen | in idioms:",5.046413695769412,56,,02
(yynN,"Masekhet: 5330029, Page: 56, Side: c, Line: 02, Word: 1",A,,,,,having large eyes,,,,עיינן,(yynn (yynn A01,adjective,having large eyes,0.0011474337643859508,56,,02
w)ytxmy,"Masekhet: 5330029, Page: 56, Side: c, Line: 02, Word: 2",c,verb Gt,,,,"to be seen, to appear","to see each other, meet",,,ואיתחמי,xmy,conjunction | verb ethpeel,"to be seen, to appear | to see each other, meet",0.395864648713153,56,,02
gxyK,"Masekhet: 5330029, Page: 56, Side: c, Line: 02, Word: 3",verb G,,,,,to laugh,"to gleam, sparkle",to sport in a (sexually?) inappropriate way,,גחיך,gxk,verb peal,"to laugh | to gleam, sparkle | to sport in a (sexually?) inappropriate way",0.017211506465789263,56,,02
w)yqpd,"Masekhet: 5330029, Page: 56, Side: c, Line: 02, Word: 4",verb Gt,c,,,,to fear,to be angry,to be wrinkled,,ואיקפד,w_,verb ethpeel | conjunction,to fear | to be angry | to be wrinkled,5.046413695769412,56,,02
(lwy,"Masekhet: 5330029, Page: 56, Side: c, Line: 02, Word: 5",p02 C,,,,,upon; against; to,,,,עלוי,(l,preposition with pronominal suffix (h)aphel,upon; against; to,0.9638443620841988,56,,02
wmyt,"Masekhet: 5330029, Page: 56, Side: c, Line: 03, Word: 0",verb G,c,,,,to die,fig. : to remain hidden until disappearance,to separate ?,,ומית,w_,verb peal | conjunction,to die | fig. : to remain hidden until disappearance | to separate ?,5.046413695769412,56,,03
""")m'","Masekhet: 5330029, Page: 56, Side: c, Line: 03, Word: 1",No data,,,,,,,,,אמ',None,No data,,23.98480797695953,56,,03
r',"Masekhet: 5330029, Page: 56, Side: c, Line: 03, Word: 2",No data,,,,,,,,,ר',None,No data,,23.98480797695953,56,,03
"yws)""","Masekhet: 5330029, Page: 56, Side: c, Line: 03, Word: 3",No data,,,,,,,,,יוסא,None,No data,,23.98480797695953,56,,03
h),"Masekhet: 5330029, Page: 56, Side: c, Line: 03, Word: 4",I01 C,,,,,here! look!,,,,הא,h),I01 (h)aphel,here! look!,0.13539718419754218,56,,03
)z{y}l,"Masekhet: 5330029, Page: 56, Side: c, Line: 03, Word: 5",verb G,,,,,"to go, move along",to go away,as co-verb : to go ahead and do something,"to be going on, to be happening (colloquial only?)",אזל,)zl,verb peal,"to go, move along | to go away | as co-verb : to go ahead and do something | to be going on, to be happening (colloquial only?)",0.279973838510172,56,,03
gwbr),"Masekhet: 5330029, Page: 56, Side: c, Line: 03, Word: 6",noun sg. emphatic,,,,,man,,,,גוברא,gbr,noun sg. emphatic,man,0.08835239985771821,56,,03
wl),"Masekhet: 5330029, Page: 56, Side: c, Line: 03, Word: 7",a01 C,c,,,,"no, not","and, also",,,ולא,w_,a01 (h)aphel | conjunction,"no, not | and, also",5.046413695769412,56,,03
$m({y}nN,"Masekhet: 5330029, Page: 56, Side: c, Line: 03, Word: 8",verb G,,,,,to hear (w. d.o. or,) something,to listen,,שמענן,$m(,verb peal,to hear (w. d.o. or | ) something | to listen,0.4142235889433282,56,,03
mynh,"Masekhet: 5330029, Page: 56, Side: c, Line: 03, Word: 9",p02 C,,,,,from,,,,מינה,mn,preposition with pronominal suffix (h)aphel,from,1.6362405480143658,56,,03
klwM,"Masekhet: 5330029, Page: 56, Side: c, Line: 03, Word: 10",P01,,,,,something,,,,כלום,klwm,preposition independent,something,0.14916638937017362,56,,03
m)y,"Masekhet: 5330029, Page: 56, Side: c, Line: 03, Word: 11",R,,,,,what is it?,,,,מאי,mhy) mhy) P01 C,R,what is it?,0.03786531422473637,56,,03
kdwN,"Masekhet: 5330029, Page: 56, Side: c, Line: 03, Word: 12",X,,,,,now; enough,,,,כדון,kdwn kdwn a01 C,X,now; enough,0.05851912198368349,56,,03
