text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
)ylyN,"Masekhet: 5330013, Page: 18, Side: c, Line: 13, Word: 7",R,,,,,these (m. and f.),,,,אילין,)ylyyn )ylyyn P01 C,R,these (m. and f.),0.2593200307512249,18,,13
tryN,"Masekhet: 5330013, Page: 18, Side: c, Line: 13, Word: 8",b,,,,,two,,,,תרין,tryyn tryyn n01 C,b,two,0.24325595804982159,18,,13
bryy),"Masekhet: 5330013, Page: 18, Side: c, Line: 13, Word: 9",A02 C,,,,,"healthy, firm",,,,ברייא,bry,adjective singular determined (h)aphel,"healthy, firm",0.017211506465789263,18,,13
mh,"Masekhet: 5330013, Page: 18, Side: c, Line: 16, Word: 0",c,,,,,what,,,,מה,mh,conjunction,what,0.6574795469931498,18,,16
dhwh,"Masekhet: 5330013, Page: 18, Side: c, Line: 16, Word: 1",c,verb G,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,דהוה,hwy,conjunction | verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:",1.5777214260306822,18,,16
(<w>bd)#14#,"Masekhet: 5330013, Page: 18, Side: c, Line: 16, Word: 2",noun sg. emphatic,,,,,"act, deed",,,,עובדא,(wbd,noun sg. emphatic,"act, deed",0.28571100733210175,18,,16
hw{y})#14#,"Masekhet: 5330013, Page: 18, Side: c, Line: 16, Word: 3",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he,0.6001078587738523,18,,16
(<w>bdh#14#,"Masekhet: 5330013, Page: 18, Side: c, Line: 16, Word: 4",noun sg. emphatic,,,,,"act, deed",,,,עובדה,(wbd,noun sg. emphatic,"act, deed",0.28571100733210175,18,,16
mysbwr,"Masekhet: 5330013, Page: 18, Side: c, Line: 19, Word: 0",verb G,,,,,to have thoughts,idioms:,,,מיסבור,sbr,verb peal,to have thoughts | idioms:,0.2971853449759613,18,,19
sbr,"Masekhet: 5330013, Page: 18, Side: c, Line: 19, Word: 1",verb G,,,,,to have thoughts,idioms:,,,סבר,sbr,verb peal,to have thoughts | idioms:,0.2971853449759613,18,,19
$mw)l,"Masekhet: 5330013, Page: 18, Side: c, Line: 19, Word: 2",PN Personal name,,,,,,,,,שמואל,$mw)l,proper name Personal name,,0.1732624984222786,18,,19
l),"Masekhet: 5330013, Page: 18, Side: c, Line: 22, Word: 0",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not",1.3195488290438433,18,,22
dmy,"Masekhet: 5330013, Page: 18, Side: c, Line: 22, Word: 1",verb G,,,,,to be like,ptcp. :,,,דמי,dmy,verb peal,to be like | ptcp. :,0.07458319468508681,18,,22
"""mbwy","Masekhet: 5330013, Page: 18, Side: c, Line: 22, Word: 2",No data,,,,,,,,,מבוי,None,No data,,23.98480797695953,18,,22
"l)ksdr)""","Masekhet: 5330013, Page: 18, Side: c, Line: 22, Word: 3",No data,,,,,,,,,לאכסדרא,None,No data,,23.98480797695953,18,,22
"""typtr""","Masekhet: 5330013, Page: 18, Side: c, Line: 37, Word: 0",No data,,,,,,,,,תיפתר,None,No data,,23.98480797695953,18,,37
krbN,"Masekhet: 5330013, Page: 18, Side: c, Line: 37, Word: 1",p02,noun sg. emphatic,,,,like,chief; teacher,,,כרבן,rb,preposition with pronominal suffix | noun sg. emphatic,like | chief; teacher,1.192183681197003,18,,37
$m(wN,"Masekhet: 5330013, Page: 18, Side: c, Line: 37, Word: 2",PN Personal name,,,,,,,,,שמעון,$m(wN,proper name Personal name,,0.29948021250473317,18,,37
"""bN""","Masekhet: 5330013, Page: 18, Side: c, Line: 37, Word: 3",No data,,,,,,,,,בן,None,No data,,23.98480797695953,18,,37
gmly)l,"Masekhet: 5330013, Page: 18, Side: c, Line: 37, Word: 4",PN Personal name,,,,,,,,,גמליאל,gmly)l,proper name Personal name,,0.039012747989122326,18,,37
wlyt,"Masekhet: 5330013, Page: 18, Side: c, Line: 37, Word: 5",verb G,c,,,,,,,,ולית,w_,verb peal | conjunction,,5.046413695769412,18,,37
)t,"Masekhet: 5330013, Page: 18, Side: c, Line: 37, Word: 6",R,,,,,you (m.),,,,את,)t )t P01 C,R,you (m.),0.34881986437332907,18,,37
$m(,"Masekhet: 5330013, Page: 18, Side: c, Line: 38, Word: 0",verb G,,,,,to hear (w. d.o. or,) something,to listen,,שמע,$m(,verb peal,to hear (w. d.o. or | ) something | to listen,0.4142235889433282,18,,38
mynh,"Masekhet: 5330013, Page: 18, Side: c, Line: 38, Word: 1",p02 C,,,,,from,,,,מינה,mn,preposition with pronominal suffix (h)aphel,from,1.6362405480143658,18,,38
klwM,"Masekhet: 5330013, Page: 18, Side: c, Line: 38, Word: 2",P01,,,,,something,,,,כלום,klwm,preposition independent,something,0.14916638937017362,18,,38
r',"Masekhet: 5330013, Page: 18, Side: c, Line: 44, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,18,,44
ywxnN,"Masekhet: 5330013, Page: 18, Side: c, Line: 44, Word: 1",PN Personal name,,,,,,,,,יוחנן,ywxnN,proper name Personal name,,0.42914022788034556,18,,44
wry$ lqy$,"Masekhet: 5330013, Page: 18, Side: c, Line: 44, Word: 2",PN Personal name,c,,,,"and, also",,,,וריש לקיש,w_,proper name Personal name | conjunction,"and, also",5.046413695769412,18,,44
hwwN,"Masekhet: 5330013, Page: 18, Side: c, Line: 44, Word: 3",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוון,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:",1.5777214260306822,18,,44
$ryyN,"Masekhet: 5330013, Page: 18, Side: c, Line: 44, Word: 4",verb G,,,,,"to loosen, untie",to permit,intrans.,"p.p. : loose, abundant :",שריין,$ry,verb peal,"to loosen, untie | to permit | intrans. | p.p. : loose, abundant :",0.17670479971543643,18,,44
b$qqh,"Masekhet: 5330013, Page: 18, Side: c, Line: 44, Word: 5",noun sg. emphatic,p02,,,,"street, course","in, with",,,בשקקה,b_,noun sg. emphatic | preposition with pronominal suffix,"street, course | in, with",0.9512225906759533,18,,44
dr',"Masekhet: 5330013, Page: 18, Side: c, Line: 44, Word: 6",p,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,preposition | noun,chief; teacher,4.462369909696963,18,,44
ycxq,"Masekhet: 5330013, Page: 18, Side: c, Line: 44, Word: 7",PN Personal name,,,,,,,,,יצחק,ycxq,proper name Personal name,,0.1376920517263141,18,,44
kP,"Masekhet: 5330013, Page: 18, Side: c, Line: 48, Word: 0",verb G,,,,,to bend (tran.),to incline (intran.),"to compel, force, subdue",,כף,kpp,verb peal,"to bend (tran.) | to incline (intran.) | to compel, force, subdue",0.006884602586315704,18,,48
ry$ lqy$,"Masekhet: 5330013, Page: 18, Side: c, Line: 48, Word: 1",PN Personal name,,,,,,,,,ריש לקיש,ry$@lqy$,proper name Personal name,,0.043602483046666134,18,,48
lr',"Masekhet: 5330013, Page: 18, Side: c, Line: 48, Word: 2",p03,N,,,,chief; teacher,,,,לר',rby#2 rby#2 noun sg. abs. or construct,preposition proclitic | noun,chief; teacher,4.462369909696963,18,,48
ywxnN,"Masekhet: 5330013, Page: 18, Side: c, Line: 48, Word: 3",PN Personal name,,,,,,,,,יוחנן,ywxnN,proper name Personal name,,0.42914022788034556,18,,48
"""wTylTl""","Masekhet: 5330013, Page: 18, Side: c, Line: 48, Word: 4",No data,,,,,,,,,וטילטל,None,No data,,23.98480797695953,18,,48
$m(h,"Masekhet: 5330013, Page: 18, Side: d, Line: 10, Word: 0",verb G,,,,,to hear (w. d.o. or,) something,to listen,,שמעה,$m(,verb peal,to hear (w. d.o. or | ) something | to listen,0.4142235889433282,18,,10
$mw)l,"Masekhet: 5330013, Page: 18, Side: d, Line: 10, Word: 1",PN Personal name,,,,,,,,,שמואל,$mw)l,proper name Personal name,,0.1732624984222786,18,,10
mynyh,"Masekhet: 5330013, Page: 18, Side: d, Line: 10, Word: 2",p02 C,,,,,from,,,,מיניה,mn,preposition with pronominal suffix (h)aphel,from,1.6362405480143658,18,,10
wl(th,"Masekhet: 5330013, Page: 18, Side: d, Line: 11, Word: 0",verb G,c,,,,to work hard,to be weary,to tire out (!),,ולעתה,w_,verb peal | conjunction,to work hard | to be weary | to tire out (!),5.046413695769412,18,,11
