text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
m$pxwtM,"Masekhet: 5330024, Page: 04, Side: a, Line: 13, Word: 9",No data,,,,,,,,,משפחותם,None,No data,,23.98480797695953,04,,13
lbyt,"Masekhet: 5330024, Page: 04, Side: a, Line: 13, Word: 10",No data,,,,,,,,,לבית,None,No data,,23.98480797695953,04,,13
")bwtM""","Masekhet: 5330024, Page: 04, Side: a, Line: 13, Word: 11",No data,,,,,,,,,אבותם,None,No data,,23.98480797695953,04,,13
$m(,"Masekhet: 5330024, Page: 04, Side: a, Line: 14, Word: 0",verb G,,,,,to hear (w. d.o. or,) something,to listen,,שמע,$m(,verb peal,to hear (w. d.o. or | ) something | to listen,0.4142235889433282,04,,14
r',"Masekhet: 5330024, Page: 04, Side: a, Line: 14, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,04,,14
xgyy,"Masekhet: 5330024, Page: 04, Side: a, Line: 14, Word: 2",PN Personal name,,,,,,,,,חגיי,xgyy,proper name Personal name,,0.04016018175350828,04,,14
)m',"Masekhet: 5330024, Page: 04, Side: a, Line: 14, Word: 3",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,04,,14
yyty,"Masekhet: 5330024, Page: 04, Side: a, Line: 14, Word: 4",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,ייתי,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting,0.7561588507303416,04,,14
)yytwnyh,"Masekhet: 5330024, Page: 04, Side: a, Line: 14, Word: 5",verb C,,,,,to bring,"to make something achieve, reach (without physical motion)",to endure,idioms,אייתוניה,)ty,verb (h)aphel,"to bring | to make something achieve, reach (without physical motion) | to endure | idioms",0.7561588507303416,04,,14
dylqy,"Masekhet: 5330024, Page: 04, Side: a, Line: 14, Word: 6",c,verb G,,,,to be smitten with (,") disease, made defective",to receive lashes or blows,,דילקי,lqy,conjunction | verb peal,"to be smitten with ( | ) disease, made defective | to receive lashes or blows",0.010326903879473558,04,,14
)m',"Masekhet: 5330024, Page: 04, Side: a, Line: 14, Word: 7",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,04,,14
lyh,"Masekhet: 5330024, Page: 04, Side: a, Line: 14, Word: 8",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,04,,14
"""m)ykN","Masekhet: 5330024, Page: 04, Side: a, Line: 14, Word: 9",No data,,,,,,,,,מאיכן,None,No data,,23.98480797695953,04,,14
)th,"Masekhet: 5330024, Page: 04, Side: a, Line: 14, Word: 10",No data,,,,,,,,,אתה,None,No data,,23.98480797695953,04,,14
"mlqyny""","Masekhet: 5330024, Page: 04, Side: a, Line: 14, Word: 11",No data,,,,,,,,,מלקיני,None,No data,,23.98480797695953,04,,14
)m',"Masekhet: 5330024, Page: 04, Side: a, Line: 14, Word: 12",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,04,,14
lyh,"Masekhet: 5330024, Page: 04, Side: a, Line: 15, Word: 0",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,04,,15
mN,"Masekhet: 5330024, Page: 04, Side: a, Line: 15, Word: 1",p01,,,,,from,,,,מן,mn,preposition independent,from,1.6362405480143658,04,,15
hd),"Masekhet: 5330024, Page: 04, Side: a, Line: 15, Word: 2",P01 C,,,,,this (f.),,,,הדא,hd),preposition independent (h)aphel,this (f.),0.6471526431136763,04,,15
dkt',"Masekhet: 5330024, Page: 04, Side: a, Line: 15, Word: 3",c,verb G,,,,to write,to draw,,,דכת',ktb,conjunction | verb peal,to write | to draw,0.162935594542805,04,,15
"""w(th","Masekhet: 5330024, Page: 04, Side: a, Line: 15, Word: 4",No data,,,,,,,,,ועתה,None,No data,,23.98480797695953,04,,15
nkrwt,"Masekhet: 5330024, Page: 04, Side: a, Line: 15, Word: 5",No data,,,,,,,,,נכרות,None,No data,,23.98480797695953,04,,15
bryt,"Masekhet: 5330024, Page: 04, Side: a, Line: 15, Word: 6",No data,,,,,,,,,ברית,None,No data,,23.98480797695953,04,,15
"l)lhynw""","Masekhet: 5330024, Page: 04, Side: a, Line: 15, Word: 7",No data,,,,,,,,,לאלהינו,None,No data,,23.98480797695953,04,,15
)m',"Masekhet: 5330024, Page: 04, Side: a, Line: 15, Word: 8",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,04,,15
lyh,"Masekhet: 5330024, Page: 04, Side: a, Line: 15, Word: 9",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,04,,15
"""mN","Masekhet: 5330024, Page: 04, Side: a, Line: 15, Word: 10",No data,,,,,,,,,מן,None,No data,,23.98480797695953,04,,15
hqblh,"Masekhet: 5330024, Page: 04, Side: a, Line: 15, Word: 11",No data,,,,,,,,,הקבלה,None,No data,,23.98480797695953,04,,15
)t,"Masekhet: 5330024, Page: 04, Side: a, Line: 15, Word: 12",No data,,,,,,,,,את,None,No data,,23.98480797695953,04,,15
"mlqyny""","Masekhet: 5330024, Page: 04, Side: a, Line: 15, Word: 13",No data,,,,,,,,,מלקיני,None,No data,,23.98480797695953,04,,15
)m',"Masekhet: 5330024, Page: 04, Side: a, Line: 16, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,04,,16
lyh,"Masekhet: 5330024, Page: 04, Side: a, Line: 16, Word: 1",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,04,,16
"""wktwrh","Masekhet: 5330024, Page: 04, Side: a, Line: 16, Word: 2",No data,,,,,,,,,וכתורה,None,No data,,23.98480797695953,04,,16
"y($h""","Masekhet: 5330024, Page: 04, Side: a, Line: 16, Word: 3",No data,,,,,,,,,יעשה,None,No data,,23.98480797695953,04,,16
)m',"Masekhet: 5330024, Page: 04, Side: a, Line: 16, Word: 4",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,04,,16
lyh,"Masekhet: 5330024, Page: 04, Side: a, Line: 16, Word: 5",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,04,,16
mN,"Masekhet: 5330024, Page: 04, Side: a, Line: 16, Word: 6",p01,,,,,from,,,,מן,mn,preposition independent,from,1.6362405480143658,04,,16
h<y>d),"Masekhet: 5330024, Page: 04, Side: a, Line: 16, Word: 7",P01 C,,,,,which one (f.),,,,הידא,hyydh,preposition independent (h)aphel,which one (f.),0.011474337643859508,04,,16
)wryyt),"Masekhet: 5330024, Page: 04, Side: a, Line: 16, Word: 8",N,,,,,"law, teaching; the Torah",,,,אורייתא,)wryyh )wryyh noun sg. emphatic,noun,"law, teaching; the Torah",0.01491663893701736,04,,16
)m',"Masekhet: 5330024, Page: 04, Side: a, Line: 16, Word: 9",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,04,,16
lyh,"Masekhet: 5330024, Page: 04, Side: a, Line: 16, Word: 10",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,04,,16
mN,"Masekhet: 5330024, Page: 04, Side: a, Line: 16, Word: 11",p01,,,,,from,,,,מן,mn,preposition independent,from,1.6362405480143658,04,,16
hhy),"Masekhet: 5330024, Page: 04, Side: a, Line: 16, Word: 12",P01 C,,,,,that one (f.),,,,ההיא,hhy),preposition independent (h)aphel,that one (f.),0.09179470115087607,04,,16
d)m',"Masekhet: 5330024, Page: 04, Side: a, Line: 16, Word: 13",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,דאמ',d_ d_ c,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:,1.2495553694163004,04,,16
r',"Masekhet: 5330024, Page: 04, Side: a, Line: 16, Word: 14",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,04,,16
ywxnN,"Masekhet: 5330024, Page: 04, Side: a, Line: 17, Word: 0",PN Personal name,,,,,,,,,יוחנן,ywxnN,proper name Personal name,,0.42914022788034556,04,,17
b$M,"Masekhet: 5330024, Page: 04, Side: a, Line: 17, Word: 1",noun sg. abs. or construct,p02,,,,name,"in, with",,,בשם,b_,noun sg. abs. or construct | preposition with pronominal suffix,"name | in, with",0.9512225906759533,04,,17
r',"Masekhet: 5330024, Page: 04, Side: a, Line: 17, Word: 2",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,04,,17
$m(wN,"Masekhet: 5330024, Page: 04, Side: a, Line: 17, Word: 3",PN Personal name,,,,,,,,,שמעון,$m(wN,proper name Personal name,,0.29948021250473317,04,,17
"""bN""","Masekhet: 5330024, Page: 04, Side: a, Line: 17, Word: 4",No data,,,,,,,,,בן,None,No data,,23.98480797695953,04,,17
ywxy,"Masekhet: 5330024, Page: 04, Side: a, Line: 17, Word: 5",PN Personal name,,,,,,,,,יוחי,ywxy,proper name Personal name,,0.020653807758947117,04,,17
kt',"Masekhet: 5330024, Page: 04, Side: a, Line: 17, Word: 6",verb G,,,,,to write,to draw,,,כת',ktb,verb peal,to write | to draw,0.162935594542805,04,,17
"""l)","Masekhet: 5330024, Page: 04, Side: a, Line: 17, Word: 7",No data,,,,,,,,,לא,None,No data,,23.98480797695953,04,,17
ttxtN,"Masekhet: 5330024, Page: 04, Side: a, Line: 17, Word: 8",No data,,,,,,,,,תתחתן,None,No data,,23.98480797695953,04,,17
bM,"Masekhet: 5330024, Page: 04, Side: a, Line: 17, Word: 9",No data,,,,,,,,,בם,None,No data,,23.98480797695953,04,,17
wkt',"Masekhet: 5330024, Page: 04, Side: a, Line: 17, Word: 10",No data,,,,,,,,,וכת',None,No data,,23.98480797695953,04,,17
ky,"Masekhet: 5330024, Page: 04, Side: a, Line: 17, Word: 11",No data,,,,,,,,,כי,None,No data,,23.98480797695953,04,,17
ysyr,"Masekhet: 5330024, Page: 04, Side: a, Line: 17, Word: 12",No data,,,,,,,,,יסיר,None,No data,,23.98480797695953,04,,17
)t,"Masekhet: 5330024, Page: 04, Side: a, Line: 17, Word: 13",No data,,,,,,,,,את,None,No data,,23.98480797695953,04,,17
"bnK""","Masekhet: 5330024, Page: 04, Side: a, Line: 17, Word: 14",No data,,,,,,,,,בנך,None,No data,,23.98480797695953,04,,17
"""m)xry","Masekhet: 5330024, Page: 04, Side: a, Line: 18, Word: 0",No data,,,,,,,,,מאחרי,None,No data,,23.98480797695953,04,,18
bnK,"Masekhet: 5330024, Page: 04, Side: a, Line: 18, Word: 1",No data,,,,,,,,,בנך,None,No data,,23.98480797695953,04,,18
my$r)l,"Masekhet: 5330024, Page: 04, Side: a, Line: 18, Word: 2",No data,,,,,,,,,מישראל,None,No data,,23.98480797695953,04,,18
qrwy,"Masekhet: 5330024, Page: 04, Side: a, Line: 18, Word: 3",No data,,,,,,,,,קרוי,None,No data,,23.98480797695953,04,,18
bnK,"Masekhet: 5330024, Page: 04, Side: a, Line: 18, Word: 4",No data,,,,,,,,,בנך,None,No data,,23.98480797695953,04,,18
w)yN,"Masekhet: 5330024, Page: 04, Side: a, Line: 18, Word: 5",No data,,,,,,,,,ואין,None,No data,,23.98480797695953,04,,18
bnK,"Masekhet: 5330024, Page: 04, Side: a, Line: 18, Word: 6",No data,,,,,,,,,בנך,None,No data,,23.98480797695953,04,,18
mgwyh,"Masekhet: 5330024, Page: 04, Side: a, Line: 18, Word: 7",No data,,,,,,,,,מגויה,None,No data,,23.98480797695953,04,,18
qrwy,"Masekhet: 5330024, Page: 04, Side: a, Line: 18, Word: 8",No data,,,,,,,,,קרוי,None,No data,,23.98480797695953,04,,18
bnK,"Masekhet: 5330024, Page: 04, Side: a, Line: 18, Word: 9",No data,,,,,,,,,בנך,None,No data,,23.98480797695953,04,,18
)l),"Masekhet: 5330024, Page: 04, Side: a, Line: 18, Word: 10",No data,,,,,,,,,אלא,None,No data,,23.98480797695953,04,,18
"bnh""","Masekhet: 5330024, Page: 04, Side: a, Line: 18, Word: 11",No data,,,,,,,,,בנה,None,No data,,23.98480797695953,04,,18
)m',"Masekhet: 5330024, Page: 04, Side: a, Line: 18, Word: 12",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,04,,18
lyh,"Masekhet: 5330024, Page: 04, Side: a, Line: 18, Word: 13",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,04,,18
xbwT,"Masekhet: 5330024, Page: 04, Side: a, Line: 19, Word: 0",verb G,,,,,"to beat, to strike",to fall upon forcefully,to throw down (or: act violently?),"to break apart forcefully, dismantle",חבוט,xbT,verb peal,"to beat, to strike | to fall upon forcefully | to throw down (or: act violently?) | to break apart forcefully, dismantle",0.013769205172631409,04,,19
xbTK,"Masekhet: 5330024, Page: 04, Side: a, Line: 19, Word: 1",noun sg. emphatic,,,,,"beating, striking",,,,חבטך,xbT,noun sg. emphatic,"beating, striking",0.013769205172631409,04,,19
dhw),"Masekhet: 5330024, Page: 04, Side: a, Line: 19, Word: 2",c,P01 C,,,,he,,,,דהוא,hw),conjunction | preposition independent (h)aphel,he,0.6001078587738523,04,,19
Tb),"Masekhet: 5330024, Page: 04, Side: a, Line: 19, Word: 3",A01 C,,,,,good,,,,טבא,Tb,adjective singular absolute or construct (h)aphel,good,0.0722883271563149,04,,19
bqlT),"Masekhet: 5330024, Page: 04, Side: a, Line: 19, Word: 4",p02,noun sg. emphatic,,,,"in, with",instruction (??),,,בקלטא,qlT,preposition with pronominal suffix | noun sg. emphatic,"in, with | instruction (??)",0.003442301293157852,04,,19
bkl,"Masekhet: 5330024, Page: 04, Side: a, Line: 30, Word: 0",p02,noun sg. abs. or construct,,,,"in, with","all, every",,,בכל,kl,preposition with pronominal suffix | noun sg. abs. or construct,"in, with | all, every",0.4348773967022754,04,,30
)tr,"Masekhet: 5330024, Page: 04, Side: a, Line: 30, Word: 1",noun sg. abs. or construct,,,,,place,,,,אתר,)tr,noun sg. abs. or construct,place,0.05851912198368349,04,,30
)t,"Masekhet: 5330024, Page: 04, Side: a, Line: 30, Word: 2",R,,,,,you (m.),,,,את,)t )t P01 C,R,you (m.),0.34881986437332907,04,,30
)mr,"Masekhet: 5330024, Page: 04, Side: a, Line: 30, Word: 3",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמר,)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,04,,30
""")yN""","Masekhet: 5330024, Page: 04, Side: a, Line: 30, Word: 4",No data,,,,,,,,,אין,None,No data,,23.98480797695953,04,,30
"""xlych","Masekhet: 5330024, Page: 04, Side: a, Line: 31, Word: 0",No data,,,,,,,,,חליצה,None,No data,,23.98480797695953,04,,31
)xr,"Masekhet: 5330024, Page: 04, Side: a, Line: 31, Word: 1",No data,,,,,,,,,אחר,None,No data,,23.98480797695953,04,,31
"xlych""","Masekhet: 5330024, Page: 04, Side: a, Line: 31, Word: 2",No data,,,,,,,,,חליצה,None,No data,,23.98480797695953,04,,31
whk),"Masekhet: 5330024, Page: 04, Side: a, Line: 31, Word: 3",a01 C,c,,,,here,"and, also",,,והכא,w_,a01 (h)aphel | conjunction,"here | and, also",5.046413695769412,04,,31
<)t>,"Masekhet: 5330024, Page: 04, Side: a, Line: 31, Word: 4",R,,,,,you (m.),,,,את,)t )t P01 C,R,you (m.),0.34881986437332907,04,,31
)m',"Masekhet: 5330024, Page: 04, Side: a, Line: 31, Word: 5",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,04,,31
)kyN,"Masekhet: 5330024, Page: 04, Side: a, Line: 31, Word: 6",a01 C,,,,,"so, thus",,,,אכין,hkyn,a01 (h)aphel,"so, thus",0.18588426983052403,04,,31
mh,"Masekhet: 5330024, Page: 04, Side: a, Line: 62, Word: 0",P01 C,,,,,what?,,,,מה,mh,preposition independent (h)aphel,what?,0.6574795469931498,04,,62
np$K,"Masekhet: 5330024, Page: 04, Side: a, Line: 62, Word: 1",N,,,,,soul; life; self,,,,נפשך,npy$ npy$ noun sg. emphatic,noun,soul; life; self,0.04474991681105208,04,,62
qTlyh,"Masekhet: 5330024, Page: 04, Side: a, Line: 62, Word: 2",verb G,,,,,to kill,"to make something not 'living' in its various metaph. senses, i.e., not raw, not flowing, etc.",to fell,,קטליה,qTl,verb peal,"to kill | to make something not 'living' in its various metaph. senses, i.e., not raw, not flowing, etc. | to fell",0.05966655574806944,04,,62
"""hx$wd","Masekhet: 5330024, Page: 04, Side: a, Line: 62, Word: 3",No data,,,,,,,,,החשוד,None,No data,,23.98480797695953,04,,62
(l,"Masekhet: 5330024, Page: 04, Side: a, Line: 62, Word: 4",No data,,,,,,,,,על,None,No data,,23.98480797695953,04,,62
"hdbr""","Masekhet: 5330024, Page: 04, Side: a, Line: 62, Word: 5",No data,,,,,,,,,הדבר,None,No data,,23.98480797695953,04,,62
"""l)","Masekhet: 5330024, Page: 04, Side: a, Line: 63, Word: 0",No data,,,,,,,,,לא,None,No data,,23.98480797695953,04,,63
dnw,"Masekhet: 5330024, Page: 04, Side: a, Line: 63, Word: 1",No data,,,,,,,,,דנו,None,No data,,23.98480797695953,04,,63
wl),"Masekhet: 5330024, Page: 04, Side: a, Line: 63, Word: 2",No data,,,,,,,,,ולא,None,No data,,23.98480797695953,04,,63
"m(ydw""","Masekhet: 5330024, Page: 04, Side: a, Line: 63, Word: 3",No data,,,,,,,,,מעידו,None,No data,,23.98480797695953,04,,63
l),"Masekhet: 5330024, Page: 04, Side: a, Line: 63, Word: 4",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not",1.3195488290438433,04,,63
