text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
lyt,"Masekhet: 5330032, Page: 07, Side: d, Line: 48, Word: 1",verb G,,,,,,,,,לית,lyt,verb peal,,0.5083131576229762,07,,48
$m(,"Masekhet: 5330032, Page: 07, Side: d, Line: 48, Word: 2",verb G,,,,,to hear (w. d.o. or,) something,to listen,,שמע,$m(,verb peal,to hear (w. d.o. or | ) something | to listen,0.4142235889433282,07,,48
mynh,"Masekhet: 5330032, Page: 07, Side: d, Line: 48, Word: 3",p02 C,,,,,from,,,,מינה,mn,preposition with pronominal suffix (h)aphel,from,1.6362405480143658,07,,48
klwM,"Masekhet: 5330032, Page: 07, Side: d, Line: 48, Word: 4",P01,,,,,something,,,,כלום,klwm,preposition independent,something,0.14916638937017362,07,,48
l),"Masekhet: 5330032, Page: 07, Side: d, Line: 49, Word: 0",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not",1.3195488290438433,07,,49
mry$),"Masekhet: 5330032, Page: 07, Side: d, Line: 49, Word: 1",p03,N,,,,from,head; top; chief,,,מרישא,r)$ r)$ noun sg. abs. or construct,preposition proclitic | noun,from | head; top; chief,0.05622425445491159,07,,49
wl),"Masekhet: 5330032, Page: 07, Side: d, Line: 49, Word: 2",a01 C,c,,,,"no, not","and, also",,,ולא,w_,a01 (h)aphel | conjunction,"no, not | and, also",5.046413695769412,07,,49
msyp),"Masekhet: 5330032, Page: 07, Side: d, Line: 49, Word: 3",p03,noun sg. emphatic,,,,from,end,,,מסיפא,swp,preposition proclitic | noun sg. emphatic,from | end,0.069993459627543,07,,49
mtnyt',"Masekhet: 5330032, Page: 07, Side: d, Line: 51, Word: 0",noun sg. emphatic,,,,,tannaitic tradition,,,,מתנית',mtny,noun sg. emphatic,tannaitic tradition,0.3614416357815745,07,,51
plyg',"Masekhet: 5330032, Page: 07, Side: d, Line: 51, Word: 1",verb G,,,,,to divide (trans.),to be in the middle,"to be distinctive, outstanding","to be halved, become divided",פליג',plg,verb peal,"to divide (trans.) | to be in the middle | to be distinctive, outstanding | to be halved, become divided",0.3075122488554348,07,,51
(l,"Masekhet: 5330032, Page: 07, Side: d, Line: 51, Word: 2",p01 C,,,,,upon; against; to,,,,על,(l,preposition independent (h)aphel,upon; against; to,0.9638443620841988,07,,51
ry$ lqy$,"Masekhet: 5330032, Page: 07, Side: d, Line: 51, Word: 3",PN Personal name,,,,,,,,,ריש לקיש,ry$@lqy$,proper name Personal name,,0.043602483046666134,07,,51
(wd,"Masekhet: 5330032, Page: 07, Side: d, Line: 55, Word: 0",a01 C,,,,,still; again,,,,עוד,(wd,a01 (h)aphel,still; again,0.043602483046666134,07,,55
hy),"Masekhet: 5330032, Page: 07, Side: d, Line: 55, Word: 1",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she,0.36717880460350427,07,,55
"""b$l)","Masekhet: 5330032, Page: 07, Side: d, Line: 55, Word: 2",No data,,,,,,,,,בשלא,None,No data,,23.98480797695953,07,,55
)mr,"Masekhet: 5330032, Page: 07, Side: d, Line: 55, Word: 3",No data,,,,,,,,,אמר,None,No data,,23.98480797695953,07,,55
yzkw,"Masekhet: 5330032, Page: 07, Side: d, Line: 55, Word: 4",No data,,,,,,,,,יזכו,None,No data,,23.98480797695953,07,,55
ly,"Masekhet: 5330032, Page: 07, Side: d, Line: 55, Word: 5",No data,,,,,,,,,לי,None,No data,,23.98480797695953,07,,55
bd',"Masekhet: 5330032, Page: 07, Side: d, Line: 55, Word: 6",No data,,,,,,,,,בד',None,No data,,23.98480797695953,07,,55
)mwt,"Masekhet: 5330032, Page: 07, Side: d, Line: 55, Word: 7",No data,,,,,,,,,אמות,None,No data,,23.98480797695953,07,,55
"$ly""","Masekhet: 5330032, Page: 07, Side: d, Line: 55, Word: 8",No data,,,,,,,,,שלי,None,No data,,23.98480797695953,07,,55
(wd,"Masekhet: 5330032, Page: 07, Side: d, Line: 57, Word: 0",a01 C,,,,,still; again,,,,עוד,(wd,a01 (h)aphel,still; again,0.043602483046666134,07,,57
hy),"Masekhet: 5330032, Page: 07, Side: d, Line: 57, Word: 1",P01 C,,,,,she,,,,היא,hy),preposition independent (h)aphel,she,0.36717880460350427,07,,57
"""b$l)","Masekhet: 5330032, Page: 07, Side: d, Line: 57, Word: 2",No data,,,,,,,,,בשלא,None,No data,,23.98480797695953,07,,57
)mr,"Masekhet: 5330032, Page: 07, Side: d, Line: 57, Word: 3",No data,,,,,,,,,אמר,None,No data,,23.98480797695953,07,,57
yzkw,"Masekhet: 5330032, Page: 07, Side: d, Line: 57, Word: 4",No data,,,,,,,,,יזכו,None,No data,,23.98480797695953,07,,57
ly,"Masekhet: 5330032, Page: 07, Side: d, Line: 57, Word: 5",No data,,,,,,,,,לי,None,No data,,23.98480797695953,07,,57
bd',"Masekhet: 5330032, Page: 07, Side: d, Line: 57, Word: 6",No data,,,,,,,,,בד',None,No data,,23.98480797695953,07,,57
)mwt,"Masekhet: 5330032, Page: 07, Side: d, Line: 57, Word: 7",No data,,,,,,,,,אמות,None,No data,,23.98480797695953,07,,57
"$ly""","Masekhet: 5330032, Page: 07, Side: d, Line: 57, Word: 8",No data,,,,,,,,,שלי,None,No data,,23.98480797695953,07,,57
whyky,"Masekhet: 5330032, Page: 07, Side: d, Line: 59, Word: 1",a01 C,c,,,,how,"and, also",,,והיכי,w_,a01 (h)aphel | conjunction,"how | and, also",5.046413695769412,07,,59
khd),"Masekhet: 5330032, Page: 07, Side: d, Line: 64, Word: 0",P01 C,p02,,,,this (f.),like,,,כהדא,k_,preposition independent (h)aphel | preposition with pronominal suffix,this (f.) | like,0.41881332400087207,07,,64
)rysyh,"Masekhet: 5330032, Page: 07, Side: d, Line: 64, Word: 1",noun sg. emphatic,,,,,tenant farmer,,,,אריסיה,)rys,noun sg. emphatic,tenant farmer,0.003442301293157852,07,,64
dr',"Masekhet: 5330032, Page: 07, Side: d, Line: 64, Word: 2",p,N,,,,chief; teacher,,,,דר',rby#2 rby#2 noun sg. abs. or construct,preposition | noun,chief; teacher,4.462369909696963,07,,64
b),"Masekhet: 5330032, Page: 07, Side: d, Line: 64, Word: 3",PN Personal name,,,,,,,,,בא,b),proper name Personal name,,0.16752532960034883,07,,64
br,"Masekhet: 5330032, Page: 07, Side: d, Line: 64, Word: 4",noun sg. abs. or construct,,,,,son,,,,בר,br,noun sg. abs. or construct,son,0.7733703571961309,07,,64
myn),"Masekhet: 5330032, Page: 07, Side: d, Line: 64, Word: 5",PN Personal name,,,,,,,,,מינא,myn),proper name Personal name,,0.003442301293157852,07,,64
slyq,"Masekhet: 5330032, Page: 07, Side: d, Line: 64, Word: 6",verb G,,,,,to go up,to result,to travel,idioms:,סליק,slq,verb peal,to go up | to result | to travel | idioms:,0.2409610905210497,07,,64
ldyql),"Masekhet: 5330032, Page: 07, Side: d, Line: 64, Word: 7",noun sg. emphatic,p03,,,,date-palm,,,,לדיקלא,l_,noun sg. emphatic | preposition proclitic,date-palm,5.087721311287306,07,,64
)$kx,"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 0",verb G,,,,,to find,"w. infinitive : to be able to, capable of",impersonal,"‏ : it may well be, it is possible",אשכח,$kx,verb peal,"to find | w. infinitive : to be able to, capable of | impersonal | ‏ : it may well be, it is possible",0.1732624984222786,08,,01
gwzlyN,"Masekhet: 5330032, Page: 08, Side: a, Line: 01, Word: 1",noun pl. absolute,,,,,young bird,,,,גוזלין,gwzl,noun pl. absolute,young bird,0.0022948675287719016,08,,01
