text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings
"""<l)>","Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",No data,,,,,,,,,לא,None,No data,
dgbr),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p,noun sg. emphatic,,,,man,,,,דגברא,gbr,preposition | noun sg. emphatic,man
mwblh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. emphatic,,,,,shipment; burden,,,,מובלה,mwbl,noun sg. emphatic,shipment; burden
)zl{),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,"to go, move along",to go away,as co-verb : to go ahead and do something,"to be going on, to be happening (colloquial only?)",אזל{א,)zl,verb peal,"to go, move along | to go away | as co-verb : to go ahead and do something | to be going on, to be happening (colloquial only?)"
h),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",I01C,,,,,here! look!,,,,הא,h),I01C,here! look!
kN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",a01C,,,,,"thus, so",,,,כן,kn,a01C,"thus, so"
m{t}(bd,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to make,"to do, perform, act in a certain manner","to designate, make into",idiomatic expressions:,מעבד,(bd,verb peal,"to make | to do, perform, act in a certain manner | to designate, make into | idiomatic expressions:"
wbr n$,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",N,c,,,,"human, person","and, also",,,ובר נש,w_,noun | conjunction,"human, person | and, also"
kl,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. abs. or construct,,,,,"all, every",,,,כל,kl,noun sg. abs. or construct,"all, every"
)ty,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,אתי,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
br n$,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",N,,,,,"human, person",,,,בר נש,brn$,noun,"human, person"
klwM,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",P01,,,,,something,,,,כלום,klwm,preposition independent,something
d)yN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",c,c,,,,if,,,,דאין,d_,conjunction | conjunction,if
ly,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p01,,,,,,,,,לי,l_,preposition independent,
tyty,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to come,to occur; w.,: to befall,to be fitting,תיתי,)ty,verb peal,to come | to occur; w. | : to befall | to be fitting
l),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",a01C,,,,,"no, not",,,,לא,l),a01C,"no, not"
lyh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p01,,,,,,,,,ליה,l_,preposition independent,
xzr,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to return (intrans.),(as co-verb) to do something again,to return (trans.),,חזר,xzr,verb peal,to return (intrans.) | (as co-verb) to do something again | to return (trans.)
w)m',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,ואמ',w_,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:
$ynyy,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun pl. emphatic,,,,,tooth,,,,שיניי,$n,noun pl. emphatic,tooth
nyxcy,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to pluck out,to pick one's teeth,,,ניחצי,xcy,verb peal,to pluck out | to pick one's teeth
qys{^M^},"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. abs. or construct,,,,,wood,,,,קיס,qys,noun sg. abs. or construct,wood
xd,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",n01C,,,,,one,,,,חד,xd,n01C,one
ly,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p01,,,,,,,,,לי,l_,preposition independent,
)yyty,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb C,,,,,to bring,"to make something achieve, reach (without physical motion)",to endure,idioms,אייתי,)ty,verb (h)aphel,"to bring | to make something achieve, reach (without physical motion) | to endure | idioms"
lyh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p01,,,,,,,,,ליה,l_,preposition independent,
)m',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:
dqysyN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p,noun pl. absolute,,,,wood,,,,דקיסין,qys,preposition | noun pl. absolute,wood
mwbl,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",noun sg. abs. or construct,,,,,shipment; burden,,,,מובל,mwbl,noun sg. abs. or construct,shipment; burden
xd,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",n01C,,,,,one,,,,חד,xd,n01C,one
T(yN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to lift up and carry a burden,"to put a burden on, load",to impose an oath on,"to tolerate, endure illness or hard labor",טעין,T(n,verb peal,"to lift up and carry a burden | to put a burden on, load | to impose an oath on | to tolerate, endure illness or hard labor"
xd,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",n01C,,,,,one,,,,חד,xd,n01C,one
(br,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to cross over,"to go away, vanish",":  to violate, transgress",to be exchangeable,עבר,(br,verb peal,"to cross over | to go away, vanish | :  to violate, transgress | to be exchangeable"
z(yr),"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",PN Personal name,,,,,,,,,זעירא,z(yr),proper name Personal name,
lr',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p03,N,,,,chief; teacher,,,,לר',rby#2,preposition proclitic | noun,chief; teacher
msmK,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb C,,,,,to prop up,to make to recline,to have one ordained,,מסמך,smk,verb (h)aphel,to prop up | to make to recline | to have one ordained
hwh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוה,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
xgyy,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",PN Personal name,,,,,,,,,חגיי,xgyy,proper name Personal name,
r',"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2,noun,chief; teacher
dgwbrh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",p,noun sg. emphatic,,,,man,,,,דגוברה,gbr,preposition | noun sg. emphatic,man
syygh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",N,,,,,"fencing in, fence",,,,סייגה,syyg,noun,"fencing in, fence"
)zyl,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,"to go, move along",to go away,as co-verb : to go ahead and do something,"to be going on, to be happening (colloquial only?)",אזיל,)zl,verb peal,"to go, move along | to go away | as co-verb : to go ahead and do something | to be going on, to be happening (colloquial only?)"
hwh,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to be,"to endure, to exist","to come to pass, to happen",in idioms:,הוה,hwy,verb peal,"to be | to endure, to exist | to come to pass, to happen | in idioms:"
kN,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",a01C,,,,,"thus, so",,,,כן,kn,a01C,"thus, so"
my(bd,"Masekhet: 0, Page: 000, Side: 0, Line: 00, Word: 0",verb G,,,,,to make,"to do, perform, act in a certain manner","to designate, make into",idiomatic expressions:,מיעבד,(bd,verb peal,"to make | to do, perform, act in a certain manner | to designate, make into | idiomatic expressions:"
