text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
$Tr,"Masekhet: 5330033, Page: 17, Side: c, Line: 33, Word: 1",noun sg. abs. or construct,,,,,document,,,,שטר,$Tr,noun sg. abs. or construct,document,0.008032036350701655,17,,33
npq,"Masekhet: 5330033, Page: 17, Side: c, Line: 33, Word: 2",verb G,,,,,"to go out, come out, leave","to turn into, end up differently from how it started","to be spent, i.e. used up, consumed",": similar to, appropriate for",נפק,npq,verb peal,"to go out, come out, leave | to turn into, end up differently from how it started | to be spent, i.e. used up, consumed | : similar to, appropriate for",0.33275579167192576,17,,33
r',"Masekhet: 5330033, Page: 17, Side: c, Line: 33, Word: 3",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,17,,33
xwnh,"Masekhet: 5330033, Page: 17, Side: c, Line: 33, Word: 4",PN Personal name,,,,,,,,,חונה,xwnh,proper name Personal name,,0.036717880460350426,17,,33
lr',"Masekhet: 5330033, Page: 17, Side: c, Line: 33, Word: 5",p03,N,,,,chief; teacher,,,,לר',rby#2 rby#2 noun sg. abs. or construct,preposition proclitic | noun,chief; teacher,4.462369909696963,17,,33
$my,"Masekhet: 5330033, Page: 17, Side: c, Line: 33, Word: 6",PN Personal name,,,,,,,,,שמי,$my,proper name Personal name,,0.022948675287719017,17,,33
)wg{r}<d>wy,"Masekhet: 5330033, Page: 17, Side: c, Line: 33, Word: 7",noun sg. emphatic,,,,,first part of Greek number for eighty,,,,אוגדוי,)wgdwy,noun sg. emphatic,first part of Greek number for eighty,0.0011474337643859508,17,,33
mxyq,"Masekhet: 5330033, Page: 17, Side: c, Line: 33, Word: 8",verb G,,,,,"to wipe out, erase",fig. : to blot out from memory or record (name) [Hebrew calque],to level off a measure,,מחיק,mxq,verb peal,"to wipe out, erase | fig. : to blot out from memory or record (name) [Hebrew calque] | to level off a measure",0.008032036350701655,17,,33
qwnT),"Masekhet: 5330033, Page: 17, Side: c, Line: 33, Word: 9",n01 C,,,,,decad,,,,קונטא,qwnTh,numeral singular absolute or construct (h)aphel,decad,0.0022948675287719016,17,,33
l),"Masekhet: 5330033, Page: 17, Side: c, Line: 33, Word: 10",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not",1.3195488290438433,17,,33
mxyq,"Masekhet: 5330033, Page: 17, Side: c, Line: 33, Word: 11",verb G,,,,,"to wipe out, erase",fig. : to blot out from memory or record (name) [Hebrew calque],to level off a measure,,מחיק,mxq,verb peal,"to wipe out, erase | fig. : to blot out from memory or record (name) [Hebrew calque] | to level off a measure",0.008032036350701655,17,,33
