text,url,lexicon_0,lexicon_1,lexicon_2,lexicon_3,lexicon_4,meaning_0,meaning_1,meaning_2,meaning_3,text_transformed,Lema,merged_lexicon,merged_meanings,word_percentage_yersushalmi,Page,Side,Line
crykh,"Masekhet: 5330030, Page: 63, Side: a, Line: 15, Word: 6",A01 C,,,,,poor; needy,,,,צריכה,cryk,adjective singular absolute or construct (h)aphel,poor; needy,0.1824419685373662,63,,15
<lyh#11#>,"Masekhet: 5330030, Page: 63, Side: a, Line: 15, Word: 7",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,63,,15
hw),"Masekhet: 5330030, Page: 63, Side: a, Line: 15, Word: 8",P01 C,,,,,he,,,,הוא,hw),preposition independent (h)aphel,he,0.6001078587738523,63,,15
dw,"Masekhet: 5330030, Page: 63, Side: a, Line: 15, Word: 9",c,P01 C,,,,he,,,,דו,hw),conjunction | preposition independent (h)aphel,he,0.6001078587738523,63,,15
)m',"Masekhet: 5330030, Page: 63, Side: a, Line: 15, Word: 10",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,63,,15
hyy d),"Masekhet: 5330030, Page: 63, Side: a, Line: 15, Word: 11",P01 C,,,,,which one (f.),,,,היי דא,hyydh,preposition independent (h)aphel,which one (f.),0.011474337643859508,63,,15
"""mxlwqt""","Masekhet: 5330030, Page: 63, Side: a, Line: 15, Word: 12",No data,,,,,,,,,מחלוקת,None,No data,,23.98480797695953,63,,15
kd,"Masekhet: 5330030, Page: 63, Side: a, Line: 17, Word: 0",c,,,,,when,,,,כד,kd,conjunction,when,0.26964693463069844,63,,17
dmK,"Masekhet: 5330030, Page: 63, Side: a, Line: 17, Word: 1",verb G,,,,,to lie down,to die,"fig. : to be motionless, take a rest from functioning",to dream,דמך,dmk,verb peal,"to lie down | to die | fig. : to be motionless, take a rest from functioning | to dream",0.10671134008789342,63,,17
r',"Masekhet: 5330030, Page: 63, Side: a, Line: 17, Word: 2",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,63,,17
m)yr,"Masekhet: 5330030, Page: 63, Side: a, Line: 17, Word: 3",PN Personal name,,,,,,,,,מאיר,m)yr,proper name Personal name,,0.11130107514543723,63,,17
gzr,"Masekhet: 5330030, Page: 63, Side: a, Line: 17, Word: 4",verb G,,,,,to cut,to sanctify a covenant or treaty,to circumcise,(intrans.) to run loose (?),גזר,gzr,verb peal,to cut | to sanctify a covenant or treaty | to circumcise | (intrans.) to run loose (?),0.01606407270140331,63,,17
r',"Masekhet: 5330030, Page: 63, Side: a, Line: 17, Word: 5",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,63,,17
ywdh,"Masekhet: 5330030, Page: 63, Side: a, Line: 17, Word: 6",PN Personal name,,,,,,,,,יודה,ywdh,proper name Personal name,,0.11015364138105127,63,,17
w)m',"Masekhet: 5330030, Page: 63, Side: a, Line: 17, Word: 7",verb G,c,,,,to say,to command,to think,idiomatic and special usages:,ואמ',w_,verb peal | conjunction,to say | to command | to think | idiomatic and special usages:,5.046413695769412,63,,17
""")l","Masekhet: 5330030, Page: 63, Side: a, Line: 17, Word: 8",No data,,,,,,,,,אל,None,No data,,23.98480797695953,63,,17
yyknsw,"Masekhet: 5330030, Page: 63, Side: a, Line: 17, Word: 9",No data,,,,,,,,,ייכנסו,None,No data,,23.98480797695953,63,,17
tlmydyw,"Masekhet: 5330030, Page: 63, Side: a, Line: 17, Word: 10",No data,,,,,,,,,תלמידיו,None,No data,,23.98480797695953,63,,17
$lr',"Masekhet: 5330030, Page: 63, Side: a, Line: 17, Word: 11",No data,,,,,,,,,שלר',None,No data,,23.98480797695953,63,,17
m)yr,"Masekhet: 5330030, Page: 63, Side: a, Line: 17, Word: 12",No data,,,,,,,,,מאיר,None,No data,,23.98480797695953,63,,17
"k)N""","Masekhet: 5330030, Page: 63, Side: a, Line: 17, Word: 13",No data,,,,,,,,,כאן,None,No data,,23.98480797695953,63,,17
dxq,"Masekhet: 5330030, Page: 63, Side: a, Line: 18, Word: 0",verb G,,,,,"to push, to press, to expel",+,",",": to urge, press to act",דחק,dxq,verb peal,"to push, to press, to expel | + | , | : to urge, press to act",0.008032036350701655,63,,18
swmkws,"Masekhet: 5330030, Page: 63, Side: a, Line: 18, Word: 1",PN Personal name,,,,,,,,,סומכוס,swmkws,proper name Personal name,,0.0011474337643859508,63,,18
w()l,"Masekhet: 5330030, Page: 63, Side: a, Line: 18, Word: 2",verb G,c,,,,to enter,w.,:  to have sexual relations with,"+ in years, days : to be advanced in age",ועאל,w_,verb peal | conjunction,"to enter | w. | :  to have sexual relations with | + in years, days : to be advanced in age",5.046413695769412,63,,18
mh,"Masekhet: 5330030, Page: 63, Side: a, Line: 43, Word: 0",P01 C,,,,,what?,,,,מה,mh,preposition independent (h)aphel,what?,0.6574795469931498,63,,43
npyq,"Masekhet: 5330030, Page: 63, Side: a, Line: 43, Word: 1",verb G,,,,,"to go out, come out, leave","to turn into, end up differently from how it started","to be spent, i.e. used up, consumed",": similar to, appropriate for",נפיק,npq,verb peal,"to go out, come out, leave | to turn into, end up differently from how it started | to be spent, i.e. used up, consumed | : similar to, appropriate for",0.33275579167192576,63,,43
mN bynyhwN,"Masekhet: 5330030, Page: 63, Side: a, Line: 43, Word: 2",p02 C,,,,,from between,,,,מן ביניהון,mn@byny,preposition with pronominal suffix (h)aphel,from between,0.04245504928228018,63,,43
wswp),"Masekhet: 5330030, Page: 63, Side: a, Line: 46, Word: 0",noun sg. emphatic,c,,,,end,"and, also",,,וסופא,w_,noun sg. emphatic | conjunction,"end | and, also",5.046413695769412,63,,46
plyg',"Masekhet: 5330030, Page: 63, Side: a, Line: 46, Word: 1",verb G,,,,,to divide (trans.),to be in the middle,"to be distinctive, outstanding","to be halved, become divided",פליג',plg,verb peal,"to divide (trans.) | to be in the middle | to be distinctive, outstanding | to be halved, become divided",0.3075122488554348,63,,46
(lwy,"Masekhet: 5330030, Page: 63, Side: a, Line: 46, Word: 2",p02 C,,,,,upon; against; to,,,,עלוי,(l,preposition with pronominal suffix (h)aphel,upon; against; to,0.9638443620841988,63,,46
hd),"Masekhet: 5330030, Page: 63, Side: a, Line: 49, Word: 0",P01 C,,,,,this (f.),,,,הדא,hd),preposition independent (h)aphel,this (f.),0.6471526431136763,63,,49
plyg',"Masekhet: 5330030, Page: 63, Side: a, Line: 49, Word: 1",verb G,,,,,to divide (trans.),to be in the middle,"to be distinctive, outstanding","to be halved, become divided",פליג',plg,verb peal,"to divide (trans.) | to be in the middle | to be distinctive, outstanding | to be halved, become divided",0.3075122488554348,63,,49
(l,"Masekhet: 5330030, Page: 63, Side: a, Line: 49, Word: 2",p01 C,,,,,upon; against; to,,,,על,(l,preposition independent (h)aphel,upon; against; to,0.9638443620841988,63,,49
r',"Masekhet: 5330030, Page: 63, Side: a, Line: 49, Word: 3",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,63,,49
l(zr,"Masekhet: 5330030, Page: 63, Side: a, Line: 50, Word: 0",PN Personal name,,,,,,,,,לעזר,l(zr,proper name Personal name,,0.12277541278929674,63,,50
btrtyy,"Masekhet: 5330030, Page: 63, Side: a, Line: 50, Word: 1",p02,b,,,,"in, with",two,,,בתרתיי,tryyn tryyn n01 C,preposition with pronominal suffix | b,"in, with | two",0.24325595804982159,63,,50
)yN,"Masekhet: 5330030, Page: 63, Side: a, Line: 50, Word: 2",c,,,,,if,,,,אין,)yn )yn c,conjunction,if,0.327018622849996,63,,50
"""bxyy<w"">","Masekhet: 5330030, Page: 63, Side: a, Line: 50, Word: 3",No data,,,,,,,,,בחייו,None,No data,,23.98480797695953,63,,50
{d}plyg),"Masekhet: 5330030, Page: 63, Side: a, Line: 50, Word: 4",verb G,,,,,to divide (trans.),to be in the middle,"to be distinctive, outstanding","to be halved, become divided",פליגא,plg,verb peal,"to divide (trans.) | to be in the middle | to be distinctive, outstanding | to be halved, become divided",0.3075122488554348,63,,50
(lwy,"Masekhet: 5330030, Page: 63, Side: a, Line: 50, Word: 5",p02 C,,,,,upon; against; to,,,,עלוי,(l,preposition with pronominal suffix (h)aphel,upon; against; to,0.9638443620841988,63,,50
mN,"Masekhet: 5330030, Page: 63, Side: a, Line: 50, Word: 6",p01,,,,,from,,,,מן,mn,preposition independent,from,1.6362405480143658,63,,50
rbnyN,"Masekhet: 5330030, Page: 63, Side: a, Line: 50, Word: 7",noun pl. emphatic,,,,,chief; teacher,,,,רבנין,rb,noun pl. emphatic,chief; teacher,1.192183681197003,63,,50
)yN,"Masekhet: 5330030, Page: 63, Side: a, Line: 50, Word: 8",c,,,,,if,,,,אין,)yn )yn c,conjunction,if,0.327018622849996,63,,50
"""l)xr""","Masekhet: 5330030, Page: 63, Side: a, Line: 50, Word: 9",No data,,,,,,,,,לאחר,None,No data,,23.98480797695953,63,,50
"""(ryph""","Masekhet: 5330030, Page: 63, Side: a, Line: 50, Word: 10",No data,,,,,,,,,עריפה,None,No data,,23.98480797695953,63,,50
plyg),"Masekhet: 5330030, Page: 63, Side: a, Line: 50, Word: 11",verb G,,,,,to divide (trans.),to be in the middle,"to be distinctive, outstanding","to be halved, become divided",פליגא,plg,verb peal,"to divide (trans.) | to be in the middle | to be distinctive, outstanding | to be halved, become divided",0.3075122488554348,63,,50
(lwy,"Masekhet: 5330030, Page: 63, Side: a, Line: 50, Word: 12",p02 C,,,,,upon; against; to,,,,עלוי,(l,preposition with pronominal suffix (h)aphel,upon; against; to,0.9638443620841988,63,,50
mN,"Masekhet: 5330030, Page: 63, Side: a, Line: 51, Word: 0",p01,,,,,from,,,,מן,mn,preposition independent,from,1.6362405480143658,63,,51
r',"Masekhet: 5330030, Page: 63, Side: a, Line: 51, Word: 1",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,63,,51
$m(wN,"Masekhet: 5330030, Page: 63, Side: a, Line: 51, Word: 2",PN Personal name,,,,,,,,,שמעון,$m(wN,proper name Personal name,,0.29948021250473317,63,,51
l),"Masekhet: 5330030, Page: 63, Side: b, Line: 07, Word: 0",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not",1.3195488290438433,63,,07
)gybwN,"Masekhet: 5330030, Page: 63, Side: b, Line: 07, Word: 1",verb C,,,,,to answer,,,,אגיבון,gwb,verb (h)aphel,to answer,0.03327557916719257,63,,07
w(wd,"Masekhet: 5330030, Page: 63, Side: b, Line: 10, Word: 0",a01 C,c,,,,still; again,"and, also",,,ועוד,w_,a01 (h)aphel | conjunction,"still; again | and, also",5.046413695769412,63,,10
mN,"Masekhet: 5330030, Page: 63, Side: b, Line: 10, Word: 1",p01,,,,,from,,,,מן,mn,preposition independent,from,1.6362405480143658,63,,10
hd),"Masekhet: 5330030, Page: 63, Side: b, Line: 10, Word: 2",P01 C,,,,,this (f.),,,,הדא,hd),preposition independent (h)aphel,this (f.),0.6471526431136763,63,,10
r',"Masekhet: 5330030, Page: 63, Side: c, Line: 20, Word: 0",N,,,,,chief; teacher,,,,ר',rby#2 rby#2 noun sg. abs. or construct,noun,chief; teacher,4.462369909696963,63,,20
z(yr),"Masekhet: 5330030, Page: 63, Side: c, Line: 20, Word: 1",PN Personal name,,,,,,,,,זעירא,z(yr),proper name Personal name,,0.14228178678385792,63,,20
myql,"Masekhet: 5330030, Page: 63, Side: c, Line: 20, Word: 2",verb C,,,,,": to make something lighter, remove a burden",to treat lightly,to hasten,to curse,מיקל,qll,verb (h)aphel,": to make something lighter, remove a burden | to treat lightly | to hasten | to curse",0.045897350575438034,63,,20
lh{w}<y>N,"Masekhet: 5330030, Page: 63, Side: c, Line: 20, Word: 3",P02 C,p03,,,,this,,,,להין,l_,preposition with pronominal suffix (h)aphel | preposition proclitic,this,5.087721311287306,63,,20
dxmy,"Masekhet: 5330030, Page: 63, Side: c, Line: 20, Word: 4",c,verb G,,,,to see,w. infinitive: to see fit to do something,w.,": to look at, study carefully",דחמי,xmy,conjunction | verb peal,"to see | w. infinitive: to see fit to do something | w. | : to look at, study carefully",0.395864648713153,63,,20
lxbryh,"Masekhet: 5330030, Page: 63, Side: c, Line: 20, Word: 5",p03,noun sg. emphatic,,,,comrade,,,,לחבריה,xbr,preposition proclitic | noun sg. emphatic,comrade,0.20424321006069926,63,,20
zbyN,"Masekhet: 5330030, Page: 63, Side: c, Line: 20, Word: 6",verb G,,,,,to buy,,,,זבין,zbn,verb peal,to buy,0.10785877385227936,63,,20
zbyn),"Masekhet: 5330030, Page: 63, Side: c, Line: 20, Word: 7",noun sg. emphatic,,,,,purchase,,,,זבינא,zbyn,noun sg. emphatic,purchase,0.0022948675287719016,63,,20
wm(l{h}<y>,"Masekhet: 5330030, Page: 63, Side: c, Line: 20, Word: 8",verb D,c,,,,to exalt,to raise up,to bring back,to evaluate,ומעלי,w_,verb pael | conjunction,to exalt | to raise up | to bring back | to evaluate,5.046413695769412,63,,20
lyh,"Masekhet: 5330030, Page: 63, Side: c, Line: 20, Word: 9",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,63,,20
(lwy,"Masekhet: 5330030, Page: 63, Side: c, Line: 20, Word: 10",p02 C,,,,,upon; against; to,,,,עלוי,(l,preposition with pronominal suffix (h)aphel,upon; against; to,0.9638443620841988,63,,20
l),"Masekhet: 5330030, Page: 63, Side: c, Line: 33, Word: 0",a01 C,,,,,"no, not",,,,לא,l),a01 (h)aphel,"no, not",1.3195488290438433,63,,33
dmyy),"Masekhet: 5330030, Page: 63, Side: c, Line: 33, Word: 1",verb G,,,,,to be like,ptcp. :,,,דמייא,dmy,verb peal,to be like | ptcp. :,0.07458319468508681,63,,33
"""(wlh","Masekhet: 5330030, Page: 63, Side: c, Line: 33, Word: 2",No data,,,,,,,,,עולה,None,No data,,23.98480797695953,63,,33
"l)$h""","Masekhet: 5330030, Page: 63, Side: c, Line: 33, Word: 3",No data,,,,,,,,,לאשה,None,No data,,23.98480797695953,63,,33
mh,"Masekhet: 5330030, Page: 63, Side: c, Line: 33, Word: 4",P01 C,,,,,what?,,,,מה,mh,preposition independent (h)aphel,what?,0.6574795469931498,63,,33
dmyy),"Masekhet: 5330030, Page: 63, Side: c, Line: 33, Word: 5",verb G,,,,,to be like,ptcp. :,,,דמייא,dmy,verb peal,to be like | ptcp. :,0.07458319468508681,63,,33
""")$h","Masekhet: 5330030, Page: 63, Side: c, Line: 33, Word: 6",No data,,,,,,,,,אשה,None,No data,,23.98480797695953,63,,33
"l(wlh""","Masekhet: 5330030, Page: 63, Side: c, Line: 33, Word: 7",No data,,,,,,,,,לעולה,None,No data,,23.98480797695953,63,,33
hN,"Masekhet: 5330030, Page: 63, Side: c, Line: 43, Word: 0",X,,,,,"where, wherever",,,,הן,hn hn a01 C,X,"where, wherever",0.05737168821929754,63,,43
)$kxnN,"Masekhet: 5330030, Page: 63, Side: c, Line: 43, Word: 1",verb G,,,,,to find,"w. infinitive : to be able to, capable of",impersonal,"‏ : it may well be, it is possible",אשכחנן,$kx,verb peal,"to find | w. infinitive : to be able to, capable of | impersonal | ‏ : it may well be, it is possible",0.1732624984222786,63,,43
"""hqd$","Masekhet: 5330030, Page: 63, Side: c, Line: 43, Word: 2",No data,,,,,,,,,הקדש,None,No data,,23.98480797695953,63,,43
ywc),"Masekhet: 5330030, Page: 63, Side: c, Line: 43, Word: 3",No data,,,,,,,,,יוצא,None,No data,,23.98480797695953,63,,43
bl),"Masekhet: 5330030, Page: 63, Side: c, Line: 43, Word: 4",No data,,,,,,,,,בלא,None,No data,,23.98480797695953,63,,43
"pdywN""","Masekhet: 5330030, Page: 63, Side: c, Line: 43, Word: 5",No data,,,,,,,,,פדיון,None,No data,,23.98480797695953,63,,43
lyy d),"Masekhet: 5330030, Page: 63, Side: c, Line: 49, Word: 0",P01 C,p03,,,,which one (f.),,,,ליי דא,l_,preposition independent (h)aphel | preposition proclitic,which one (f.),5.087721311287306,63,,49
mylh,"Masekhet: 5330030, Page: 63, Side: c, Line: 49, Word: 1",N,,,,,"word, speech; thing",,,,מילה,mylh mylh noun sg. abs. or construct,noun,"word, speech; thing",0.10097417126596368,63,,49
)m',"Masekhet: 5330030, Page: 63, Side: c, Line: 49, Word: 2",verb G,,,,,to say,to command,to think,idiomatic and special usages:,אמ',)mr,verb peal,to say | to command | to think | idiomatic and special usages:,4.212229349060825,63,,49
lyh,"Masekhet: 5330030, Page: 63, Side: c, Line: 49, Word: 3",p02 C,,,,,,,,,ליה,l_,preposition with pronominal suffix (h)aphel,,5.087721311287306,63,,49
